id,sentence_id,head_id,row_loc,verb,verb_compound,feats,pos,lemma,form,status,ekilex_tag,ner_tag,timex_tag,morph_case,tags,sentence
792,263,491,11,hakkama,,"com,in,sg",S,koha,kohas,,,,,in,,"“ Praegu ei oska ette arvata , mis seal uues kohas kõik toimuma hakkab , aga kindlasti saab ta linna südameks , kuna see maja võimaldab nii palju , ” kõlab ta optimistlik prognoos ."
807,264,497,14,tulema,,"adit,com,sg",S,kontserdimaja,kontserdimajja,,location,,,adit,|L|AL|EL|LS|LT|ALT|ELT|LST|,"Mäe on kohtunud piletikassa juures pärnakatega , kes väidavad end olevat tulnud uude kontserdimajja juba üheksandat-kümnendat korda ."
815,267,502,4,kõnelema,,"com,el,sg",S,projekt,projektist,,,,,el,,"vMäe kõneleb uuest projektist niisuguse põlemisega , nagu oleks see elu ja surma küsimus ."
845,274,518,10,minema,,"all,com,sg",S,luure,luurele,,,,,all,,"Samas mainivad Mäe kohta mõned ta kolleegid , et luurele läheksid nad vaid temaga ."
851,276,519,6,andma,alla,"all,com,sg",S,poliitika,poliitikale,,,,,all,,Aivar Mäe ei anna alla poliitikale ega pankadele .
865,281,524,9,rändama,,"all,com,sg",S,peadirigent,peadirigendile,,alive,,,all,|A|AE|AL|AS|AT|AET|ALT|AST|,"Tuusik rändas aga ruttu Mäe käest omakorda RAM-i peadirigendile , kes pidavat seda rohkem vajama ."
866,282,527,7,jääma,,"ad,com,sg",S,puhkus,puhkusel,,,,,ad,,"“ Olen kindel , et jään puhkusel haigeks !"
868,283,530,20,jääma,,"ad,com,sg",S,juht,juhul,,,,,ad,,"See oleks kohutav , kui ma peaks seal seitse päeva kohal olema ja veel muda sees lamama - igal juhul jään haigeks , ” naerab Mäe ."
873,284,532,6,käima,,"ad,com,sg",S,puhkusereis,puhkusereisil,,event,,,ad,|E|AE|EL|ET|AET|ELT|,"“ Ma pole käinud ühelgi puhkusereisil , vihkan ka väliskomandeeringuid ."
879,285,535,8,minema,,"com,ill,sg",S,komandeering,komandeeringusse,,,,,ill,,"Kui võimalik , siis ma ei lähegi komandeeringusse . ”"
885,287,537,3,andma,,"com,in,sg",S,aasta,aastas,,,,SET,in,|T|AT|ET|LT|ST|AET|ALT|AST|ELT|LST|,"Ansambel annab aastas kuni sada kontserti välismaal - seal ootab Aivar õhtul saabuvat emotsionaalset laengut , see talle sobib ."
