verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
toimuma,,all,162,49,1025,vahel
püüdma,,in,30,83,1022,mitte kunagi
soovitama,,all,329,48,1022,vahel
kajastuma,,in,16,37,1019,mitte kunagi
jutustama,,el,198,22,1018,vahel
pühendama,,all,154,31,1011,vahel
püsima,,ad,78,56,1005,vahel
ootama,,ad,19,72,1004,mitte kunagi
tegutsema,,ad,15,84,1001,mitte kunagi
saatma,,in,19,64,999,mitte kunagi
sattuma,,ad,25,50,999,mitte kunagi
paiknema,,in,21,125,995,mitte kunagi
kehtima,,all,248,45,993,vahel
tegelema,,in,29,95,992,mitte kunagi
puhkema,,in,21,153,991,mitte kunagi
kasvama,,el,123,44,990,mitte kunagi
suutma,,all,169,32,984,vahel
paluma,,abl,342,30,983,alati
peatuma,,ad,47,63,977,mitte kunagi
kasvama,välja,el,42,45,975,mitte kunagi
tabama,,in,22,99,974,mitte kunagi
kohtuma,,ad,8,47,972,mitte kunagi
jooksma,,in,25,66,970,mitte kunagi
sattuma,,el,133,71,970,vahel
nõudma,,all,244,47,968,vahel
valmima,,in,24,81,967,mitte kunagi
ilmnema,,in,22,45,965,mitte kunagi
esitama,,ad,22,36,964,mitte kunagi
otsima,,all,129,60,964,vahel
keelama,,ad,296,48,962,vahel
huvituma,,el,82,39,961,vahel
näitama,,el,110,39,961,vahel
tundma,,ad,29,45,960,vahel
vaatama,,all,176,50,959,vahel
kaotama,,el,119,37,958,vahel
kasutama,,el,157,39,958,vahel
avalduma,,in,28,37,957,mitte kunagi
kuulma,,in,32,85,952,mitte kunagi
liikuma,,ad,33,55,952,mitte kunagi
ulatuma,,el,55,57,946,vahel
moodustama,,in,23,62,942,mitte kunagi
avama,,all,230,41,941,vahel
laskma,,in,25,97,941,mitte kunagi
ootama,,el,92,44,941,vahel
uskuma,,ill,105,20,941,vahel
peetuma,,in,12,65,939,mitte kunagi
pääsema,,ill,24,88,937,mitte kunagi
tekitama,,ad,80,61,932,vahel
vabanema,,el,56,26,931,vahel
vastama,,in,27,66,931,mitte kunagi
edastama,,all,241,38,930,alati
nimetama,,in,20,47,929,mitte kunagi
viima,,adit,20,101,927,mitte kunagi
saatma,,ill,29,69,921,mitte kunagi
saabuma,,ill,10,64,919,mitte kunagi
avastama,,in,37,109,918,mitte kunagi
minema,,abl,117,61,918,mitte kunagi
soovima,,in,26,71,914,mitte kunagi
tegema,,ill,25,84,909,mitte kunagi
pühenduma,,all,50,27,903,mitte kunagi
kehtima,,ad,33,48,901,mitte kunagi
kandma,,ad,31,39,900,mitte kunagi
tõmbama,,all,76,52,899,vahel
liikuma,,el,77,75,898,vahel
päästma,,el,32,39,894,mitte kunagi
saavutama,,ad,8,33,893,mitte kunagi
saatma,,ad,14,36,892,mitte kunagi
kaduma,,in,27,81,891,mitte kunagi
kujunema,,in,27,77,891,mitte kunagi
leiduma,,ad,104,76,891,vahel
astuma,,all,100,61,890,vahel
jagama,,in,20,71,890,mitte kunagi
lõpetama,,ad,13,49,890,mitte kunagi
ületama,,in,18,48,890,mitte kunagi
lasuma,,ad,265,46,889,alati
paistma,,ad,66,49,888,vahel
vedama,,ad,174,31,885,vahel
vabastama,,el,67,17,882,mitte kunagi
aitama,,in,23,55,880,mitte kunagi
langema,,ad,57,47,880,vahel
otsima,,in,33,88,879,mitte kunagi
tooma,,ad,28,39,879,mitte kunagi
paistma,,el,65,63,877,mitte kunagi
näima,,in,31,72,874,mitte kunagi
tunduma,,all,316,14,874,vahel
jääma,üle,ad,278,24,873,alati
jätma,,ad,26,36,870,mitte kunagi
sõitma,,adit,33,92,868,mitte kunagi
ilmuma,,el,77,47,867,vahel
vajama,,in,23,73,865,mitte kunagi
eristama,,el,173,33,859,vahel
