Collection,Experiment,Model,Source,Split,LAS
edt,am_experiment_2,malt,test,4,83.30%
edt,am_experiment_2,malt,train,5,93.20%
edt,am_experiment_2,malt,test,5,83.80%
edt,am_experiment_2,malt,train,6,93.20%
edt,am_experiment_2,malt,test,6,83.30%
edt,am_experiment_2,malt,train,7,93.20%
edt,am_experiment_2,malt,test,7,84.50%
edt,am_experiment_2,malt,train,8,93.10%
edt,am_experiment_2,malt,test,8,84.50%
edt,am_experiment_2,malt,train,9,93.10%
edt,am_experiment_2,malt,test,9,84.30%
est_ud,am_experiment_2,malt,train,0,91.20%
est_ud,am_experiment_2,malt,test,0,90.80%
est_ud,am_experiment_2,malt,train,1,91.30%
est_ud,am_experiment_2,malt,test,1,91.50%
est_ud,am_experiment_2,malt,train,2,91.30%
est_ud,am_experiment_2,malt,test,2,91.20%
est_ud,am_experiment_2,malt,train,3,91.20%
est_ud,am_experiment_2,malt,test,3,91.40%
est_ud,am_experiment_2,malt,train,4,91.20%
est_ud,am_experiment_2,malt,test,4,91.20%
est_ud,am_experiment_2,malt,train,5,91.20%
est_ud,am_experiment_2,malt,test,5,91.40%
est_ud,am_experiment_2,malt,train,6,91.20%
est_ud,am_experiment_2,malt,test,6,91.00%
est_ud,am_experiment_2,malt,train,7,91.20%
est_ud,am_experiment_2,malt,test,7,91.10%
est_ud,am_experiment_2,malt,train,8,91.20%
est_ud,am_experiment_2,malt,test,8,91.40%
est_ud,am_experiment_2,malt,train,9,90.50%
est_ud,am_experiment_2,malt,test,9,90.70%
edt,gm_experiment_3,udpipe,train,0,90.70%
edt,gm_experiment_3,udpipe,test,0,84.98%
edt,gm_experiment_3,udpipe,train,1,91.18%
edt,gm_experiment_3,udpipe,test,1,85.45%
edt,gm_experiment_3,udpipe,train,2,90.92%
edt,gm_experiment_3,udpipe,test,2,83.77%
edt,gm_experiment_3,udpipe,train,3,91.12%
edt,gm_experiment_3,udpipe,test,3,86.14%
edt,gm_experiment_3,udpipe,train,4,91.11%
edt,gm_experiment_3,udpipe,test,4,84.96%
edt,gm_experiment_3,udpipe,train,5,90.64%
edt,gm_experiment_3,udpipe,test,5,85.41%
edt,gm_experiment_3,udpipe,train,6,91.20%
edt,gm_experiment_3,udpipe,test,6,85.15%
edt,gm_experiment_3,udpipe,train,7,90.95%
edt,gm_experiment_3,udpipe,test,7,84.22%
edt,gm_experiment_3,udpipe,train,8,90.85%
edt,gm_experiment_3,udpipe,test,8,84.91%
edt,gm_experiment_3,udpipe,train,9,91.06%
edt,gm_experiment_3,udpipe,test,9,83.47%
est_ud,gm_experiment_3,udpipe,train,0,90.41%
est_ud,gm_experiment_3,udpipe,test,0,83.89%
est_ud,gm_experiment_3,udpipe,train,1,90.47%
est_ud,gm_experiment_3,udpipe,test,1,84.07%
est_ud,gm_experiment_3,udpipe,train,2,90.18%
