Collection,Experiment,Model,Source,Split,LA,UAS,LAS
est_ud,gm_experiment_6,udpipe,train,6,-,"88.96%,",85.83%
est_ud,gm_experiment_6,udpipe,test,6,-,"83.04%,",78.11%
est_ud,gm_experiment_6,udpipe,train,7,-,"88.43%,",85.45%
est_ud,gm_experiment_6,udpipe,test,7,-,"82.59%,",78.04%
est_ud,gm_experiment_6,udpipe,train,8,-,"89.19%,",86.29%
est_ud,gm_experiment_6,udpipe,test,8,-,"83.09%,",78.41%
est_ud,gm_experiment_6,udpipe,train,9,-,"88.78%,",85.88%
est_ud,gm_experiment_6,udpipe,test,9,-,"82.84%,",78.13%
est_ud,am_experiment_6,udpipe,train,0,-,"88.47%,",84.97%
est_ud,am_experiment_6,udpipe,test,0,-,"82.88%,",77.67%
est_ud,am_experiment_6,udpipe,train,1,-,"88.02%,",84.47%
est_ud,am_experiment_6,udpipe,test,1,-,"81.81%,",76.62%
est_ud,am_experiment_6,udpipe,train,2,-,"88.31%,",84.69%
est_ud,am_experiment_6,udpipe,test,2,-,"82.35%,",76.79%
est_ud,am_experiment_6,udpipe,train,3,-,"88.33%,",84.73%
est_ud,am_experiment_6,udpipe,test,3,-,"83.20%,",77.62%
est_ud,am_experiment_6,udpipe,train,4,-,"88.51%,",84.88%
est_ud,am_experiment_6,udpipe,test,4,-,"83.06%,",77.54%
est_ud,am_experiment_6,udpipe,train,5,-,"88.94%,",85.45%
est_ud,am_experiment_6,udpipe,test,5,-,"82.90%,",77.37%
est_ud,am_experiment_6,udpipe,train,6,-,"88.29%,",84.81%
est_ud,am_experiment_6,udpipe,test,6,-,"82.50%,",77.29%
est_ud,am_experiment_6,udpipe,train,7,-,"88.29%,",84.56%
est_ud,am_experiment_6,udpipe,test,7,-,"82.90%,",77.44%
est_ud,am_experiment_6,udpipe,train,8,-,"88.44%,",84.81%
est_ud,am_experiment_6,udpipe,test,8,-,"82.47%,",76.78%
est_ud,am_experiment_6,udpipe,train,9,-,"88.30%,",84.69%
est_ud,am_experiment_6,udpipe,test,9,-,"82.72%,",77.17%
est_ud,gm_experiment_6_2,udpipe,train,0,-,"88.99%,",86.00%
est_ud,gm_experiment_6_2,udpipe,test,0,-,"83.54%,",78.79%
est_ud,gm_experiment_6_2,udpipe,train,1,-,"89.20%,",86.27%
est_ud,gm_experiment_6_2,udpipe,test,1,-,"83.35%,",78.86%
est_ud,gm_experiment_6_2,udpipe,train,2,-,"89.07%,",86.09%
est_ud,gm_experiment_6_2,udpipe,test,2,-,"83.28%,",78.67%
est_ud,gm_experiment_6_2,udpipe,train,3,-,"89.17%,",86.20%
est_ud,gm_experiment_6_2,udpipe,test,3,-,"83.10%,",78.17%
est_ud,gm_experiment_6_2,udpipe,train,4,-,"89.63%,",86.69%
est_ud,gm_experiment_6_2,udpipe,test,4,-,"83.28%,",78.62%
est_ud,gm_experiment_6_2,udpipe,train,5,-,"89.27%,",86.27%
est_ud,gm_experiment_6_2,udpipe,test,5,-,"82.83%,",78.23%
est_ud,gm_experiment_6_2,udpipe,train,6,-,"88.88%,",86.06%
est_ud,gm_experiment_6_2,udpipe,test,6,-,"82.85%,",78.24%
