verbobl;verb;case;isikumäärus;aja-kohamäärus;muu;deprel
kutsuma - ad (kellel/millel);kutsuma;ad (kellel/millel);mitte kunagi;alati;vaieldav märgendus;obl
laulma - ad (kellel/millel);laulma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
jaguma - ad (kellel/millel);jaguma;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
pälvima - ad (kellel/millel);pälvima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
läbima - ad (kellel/millel);läbima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tutvustama - ad (kellel/millel);tutvustama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
astuma üles - ad (kellel/millel);astuma üles;ad (kellel/millel);mitte kunagi;alati;muu;obl
õppima - ad (kellel/millel);õppima;ad (kellel/millel);mitte kunagi;alati;muu;obl
tegelema - ad (kellel/millel);tegelema;ad (kellel/millel);mitte kunagi;alati;muu;obl
meenutama - ad (kellel/millel);meenutama;ad (kellel/millel);mitte kunagi;vahel;vaieldav märgendus;obl
baseeruma - ad (kellel/millel);baseeruma;ad (kellel/millel);mitte kunagi;mitte kunagi;muu;obl
minema vaja - ad (kellel/millel);minema vaja;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
tõstma - ad (kellel/millel);tõstma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
ostma - ad (kellel/millel);ostma;ad (kellel/millel);mitte kunagi;mitte kunagi;muu;obl
tagama - ad (kellel/millel);tagama;ad (kellel/millel);mitte kunagi;alati;muu;obl
nimetama - ad (kellel/millel);nimetama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
rajanema - ad (kellel/millel);rajanema;ad (kellel/millel);vahel;vahel;muu;obl
otsima - ad (kellel/millel);otsima;ad (kellel/millel);mitte kunagi;alati;muu;obl
tegema kaasa - ad (kellel/millel);tegema kaasa;ad (kellel/millel);mitte kunagi;alati;muu;obl
tõmbama - ad (kellel/millel);tõmbama;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
mõtlema - ad (kellel/millel);mõtlema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
lahkuma - ad (kellel/millel);lahkuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
proovima - ad (kellel/millel);proovima;ad (kellel/millel);mitte kunagi;alati;muu;obl
kihutama - ad (kellel/millel);kihutama;ad (kellel/millel);mitte kunagi;alati;muu;obl
puhkema - ad (kellel/millel);puhkema;ad (kellel/millel);mitte kunagi;alati;muu;obl
loobuma - ad (kellel/millel);loobuma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
võtma vastu - ad (kellel/millel);võtma vastu;ad (kellel/millel);mitte kunagi;alati;muu;obl
kestma - ad (kellel/millel);kestma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
saama kokku - ad (kellel/millel);saama kokku;ad (kellel/millel);mitte kunagi;alati;muu;obl
müüma - ad (kellel/millel);müüma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
ulatuma - ad (kellel/millel);ulatuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
haarama - ad (kellel/millel);haarama;ad (kellel/millel);vahel;vahel;vaieldav märgendus;obl
määrama - ad (kellel/millel);määrama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
hindama - ad (kellel/millel);hindama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
viskama - ad (kellel/millel);viskama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
peetuma - ad (kellel/millel);peetuma;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
seadma - ad (kellel/millel);seadma;ad (kellel/millel);mitte kunagi;alati;muu;obl
põlema - ad (kellel/millel);põlema;ad (kellel/millel);mitte kunagi;alati;muu;obl
levima - ad (kellel/millel);levima;ad (kellel/millel);mitte kunagi;alati;muu;obl
kulgema - ad (kellel/millel);kulgema;ad (kellel/millel);vahel;vahel;muu;obl
oskama - ad (kellel/millel);oskama;ad (kellel/millel);mitte kunagi;vahel;muu ja vaieldav märgendus;obl
lähtuma - ad (kellel/millel);lähtuma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
järgnema - ad (kellel/millel);järgnema;ad (kellel/millel);mitte kunagi;alati;muu;obl
arvama - ad (kellel/millel);arvama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
meeldima - ad (kellel/millel);meeldima;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
eksima - ad (kellel/millel);eksima;ad (kellel/millel);mitte kunagi;alati;muu;obl
lõpma - ad (kellel/millel);lõpma;ad (kellel/millel);mitte kunagi;alati;muu;obl
segama - ad (kellel/millel);segama;ad (kellel/millel);vahel;vahel;muu;obl
jälgima - ad (kellel/millel);jälgima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
startima - ad (kellel/millel);startima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
vahetama - ad (kellel/millel);vahetama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
tutvuma - ad (kellel/millel);tutvuma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
ähvardama - ad (kellel/millel);ähvardama;ad (kellel/millel);vahel;vahel;muu;obl
külastama - ad (kellel/millel);külastama;ad (kellel/millel);mitte kunagi;alati;muu;obl
lisama - ad (kellel/millel);lisama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
ründama - ad (kellel/millel);ründama;ad (kellel/millel);mitte kunagi;alati;muu;obl
tunduma - ad (kellel/millel);tunduma;ad (kellel/millel);mitte kunagi;alati;muu;obl
harjutama - ad (kellel/millel);harjutama;ad (kellel/millel);mitte kunagi;alati;muu;obl
rippuma - ad (kellel/millel);rippuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
purunema - ad (kellel/millel);purunema;ad (kellel/millel);vahel;vahel;muu;obl
arutama - ad (kellel/millel);arutama;ad (kellel/millel);mitte kunagi;alati;muu;obl
mõjuma - ad (kellel/millel);mõjuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
arenema - ad (kellel/millel);arenema;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
arvestama - ad (kellel/millel);arvestama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
täituma - ad (kellel/millel);täituma;ad (kellel/millel);vahel;vahel;muu;obl
käituma - ad (kellel/millel);käituma;ad (kellel/millel);mitte kunagi;alati;muu;obl
tähistama - ad (kellel/millel);tähistama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
sõltuma - ad (kellel/millel);sõltuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
eelistama - ad (kellel/millel);eelistama;ad (kellel/millel);mitte kunagi;alati;muu;obl
kontrollima - ad (kellel/millel);kontrollima;ad (kellel/millel);mitte kunagi;alati;muu;obl
ilutsema - ad (kellel/millel);ilutsema;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
kujunema välja - ad (kellel/millel);kujunema välja;ad (kellel/millel);mitte kunagi;vahel;muu;obl
alistama - ad (kellel/millel);alistama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
jääma vahele - ad (kellel/millel);jääma vahele;ad (kellel/millel);mitte kunagi;alati;muu;obl
lööma kaasa - ad (kellel/millel);lööma kaasa;ad (kellel/millel);mitte kunagi;alati;pole kindel;obl
lebama - ad (kellel/millel);lebama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
maanduma - ad (kellel/millel);maanduma;ad (kellel/millel);mitte kunagi;alati;muu;obl
süttima - ad (kellel/millel);süttima;ad (kellel/millel);mitte kunagi;alati;muu;obl
jääma alla - ad (kellel/millel);jääma alla;ad (kellel/millel);mitte kunagi;vahel;muu;obl
vähendama - ad (kellel/millel);vähendama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kõndima - ad (kellel/millel);kõndima;ad (kellel/millel);mitte kunagi;alati;muu;obl
pöörduma - ad (kellel/millel);pöörduma;ad (kellel/millel);mitte kunagi;alati;muu;obl
särama - ad (kellel/millel);särama;ad (kellel/millel);mitte kunagi;alati;muu;obl
uurima - ad (kellel/millel);uurima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
murdma - ad (kellel/millel);murdma;ad (kellel/millel);vahel;vahel;muu;obl
kuulutama - ad (kellel/millel);kuulutama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
selgitama - ad (kellel/millel);selgitama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tuginema - ad (kellel/millel);tuginema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
väitma - ad (kellel/millel);väitma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
võitlema - ad (kellel/millel);võitlema;ad (kellel/millel);mitte kunagi;alati;muu;obl
kiitma - ad (kellel/millel);kiitma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
omama - ad (kellel/millel);omama;ad (kellel/millel);mitte kunagi;alati;pole kindel;obl
üllatama - ad (kellel/millel);üllatama;ad (kellel/millel);mitte kunagi;alati;muu;obl
mõjutama - ad (kellel/millel);mõjutama;ad (kellel/millel);mitte kunagi;alati;muu;obl
suurendama - ad (kellel/millel);suurendama;ad (kellel/millel);mitte kunagi;alati;muu;obl
rikkuma - ad (kellel/millel);rikkuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
saama otsa - ad (kellel/millel);saama otsa;ad (kellel/millel);vahel;vahel;pole kindel;obl
jääma ära - ad (kellel/millel);jääma ära;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
magama - ad (kellel/millel);magama;ad (kellel/millel);mitte kunagi;alati;muu ja vaieldav märgendus;obl
saama täis - ad (kellel/millel);saama täis;ad (kellel/millel);vahel;vahel;muu;obl
tuvastama - ad (kellel/millel);tuvastama;ad (kellel/millel);vahel;vahel;muu;obl
omandama - ad (kellel/millel);omandama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
piirduma - ad (kellel/millel);piirduma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
märkima - ad (kellel/millel);märkima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
pidama kinni - ad (kellel/millel);pidama kinni;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
kõnelema - ad (kellel/millel);kõnelema;ad (kellel/millel);mitte kunagi;alati;muu;obl
viitama - ad (kellel/millel);viitama;ad (kellel/millel);mitte kunagi;alati;muu;obl
hüppama - ad (kellel/millel);hüppama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
asendama - ad (kellel/millel);asendama;ad (kellel/millel);mitte kunagi;alati;muu;obl
kujutama - ad (kellel/millel);kujutama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
peatama - ad (kellel/millel);peatama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tapma - ad (kellel/millel);tapma;ad (kellel/millel);mitte kunagi;alati;muu;obl
abistama - ad (kellel/millel);abistama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
domineerima - ad (kellel/millel);domineerima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
katkema - ad (kellel/millel);katkema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
püstitama - ad (kellel/millel);püstitama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
sööma - ad (kellel/millel);sööma;ad (kellel/millel);mitte kunagi;alati;muu ja vaieldav märgendus;obl
ebaõnnestuma - ad (kellel/millel);ebaõnnestuma;ad (kellel/millel);vahel;vahel;muu;obl
esitlema - ad (kellel/millel);esitlema;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
kogema - ad (kellel/millel);kogema;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
võtma kinni - ad (kellel/millel);võtma kinni;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
kuulama - ad (kellel/millel);kuulama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
plahvatama - ad (kellel/millel);plahvatama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
rõhutama - ad (kellel/millel);rõhutama;ad (kellel/millel);vahel;vahel;muu;obl
jalutama - ad (kellel/millel);jalutama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
mõistma - ad (kellel/millel);mõistma;ad (kellel/millel);mitte kunagi;alati;muu;obl
valmistama - ad (kellel/millel);valmistama;ad (kellel/millel);mitte kunagi;alati;muu;obl
katkestama - ad (kellel/millel);katkestama;ad (kellel/millel);mitte kunagi;alati;muu;obl
pöörama - ad (kellel/millel);pöörama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kindlustama - ad (kellel/millel);kindlustama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tooma kaasa - ad (kellel/millel);tooma kaasa;ad (kellel/millel);mitte kunagi;vahel;muu;obl
avalduma - ad (kellel/millel);avalduma;ad (kellel/millel);vahel;vahel;muu;obl
pidama vastu - ad (kellel/millel);pidama vastu;ad (kellel/millel);mitte kunagi;alati;muu;obl
helistama - ad (kellel/millel);helistama;ad (kellel/millel);mitte kunagi;alati;muu;obl
sundima - ad (kellel/millel);sundima;ad (kellel/millel);mitte kunagi;alati;muu;obl
suruma - ad (kellel/millel);suruma;ad (kellel/millel);vahel;vahel;muu;obl
tervitama - ad (kellel/millel);tervitama;ad (kellel/millel);mitte kunagi;alati;muu;obl
torkama - ad (kellel/millel);torkama;ad (kellel/millel);vahel;alati;mitte kunagi;obl
keelduma - ad (kellel/millel);keelduma;ad (kellel/millel);mitte kunagi;alati;muu;obl
kirjeldama - ad (kellel/millel);kirjeldama;ad (kellel/millel);mitte kunagi;alati;muu;obl
olema kohal - ad (kellel/millel);olema kohal;ad (kellel/millel);mitte kunagi;vahel;muu;obl
sõlmima - ad (kellel/millel);sõlmima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
uskuma - ad (kellel/millel);uskuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
edestama - ad (kellel/millel);edestama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
heitma - ad (kellel/millel);heitma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
nautima - ad (kellel/millel);nautima;ad (kellel/millel);mitte kunagi;alati;muu;obl
jooma - ad (kellel/millel);jooma;ad (kellel/millel);mitte kunagi;alati;muu;obl
sadama - ad (kellel/millel);sadama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
sooritama - ad (kellel/millel);sooritama;ad (kellel/millel);mitte kunagi;alati;muu;obl
kannatama - ad (kellel/millel);kannatama;ad (kellel/millel);mitte kunagi;alati;muu;obl
käivituma - ad (kellel/millel);käivituma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
paranema - ad (kellel/millel);paranema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tegema ära - ad (kellel/millel);tegema ära;ad (kellel/millel);mitte kunagi;vahel;muu;obl
põrkama kokku - ad (kellel/millel);põrkama kokku;ad (kellel/millel);mitte kunagi;alati;muu;obl
taotlema - ad (kellel/millel);taotlema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
olema lahti - ad (kellel/millel);olema lahti;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
ilmutama - ad (kellel/millel);ilmutama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
puudutama - ad (kellel/millel);puudutama;ad (kellel/millel);mitte kunagi;alati;muu;obl
tõestama - ad (kellel/millel);tõestama;ad (kellel/millel);mitte kunagi;alati;muu;obl
mahtuma - ad (kellel/millel);mahtuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
puhkama - ad (kellel/millel);puhkama;ad (kellel/millel);mitte kunagi;alati;muu;obl
väljuma - ad (kellel/millel);väljuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kaitsma - ad (kellel/millel);kaitsma;ad (kellel/millel);mitte kunagi;alati;muu;obl
käsitlema - ad (kellel/millel);käsitlema;ad (kellel/millel);mitte kunagi;alati;muu;obl
keerama - ad (kellel/millel);keerama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tantsima - ad (kellel/millel);tantsima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
vajuma - ad (kellel/millel);vajuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
kasvatama - ad (kellel/millel);kasvatama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kulutama - ad (kellel/millel);kulutama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
vedelema - ad (kellel/millel);vedelema;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
kaaluma - ad (kellel/millel);kaaluma;ad (kellel/millel);vahel;vahel;muu;obl
kehtestama - ad (kellel/millel);kehtestama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
keskenduma - ad (kellel/millel);keskenduma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
osutama - ad (kellel/millel);osutama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
lõikama - ad (kellel/millel);lõikama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
nägema ette - ad (kellel/millel);nägema ette;ad (kellel/millel);mitte kunagi;vahel;muu;obl
toimetama - ad (kellel/millel);toimetama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
libisema - ad (kellel/millel);libisema;ad (kellel/millel);mitte kunagi;alati;muu;obl
nägema välja - ad (kellel/millel);nägema välja;ad (kellel/millel);mitte kunagi;alati;muu;obl
hääletama - ad (kellel/millel);hääletama;ad (kellel/millel);mitte kunagi;alati;muu;obl
nõustuma - ad (kellel/millel);nõustuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
parandama - ad (kellel/millel);parandama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
sulgema - ad (kellel/millel);sulgema;ad (kellel/millel);mitte kunagi;alati;muu;obl
tulistama - ad (kellel/millel);tulistama;ad (kellel/millel);mitte kunagi;alati;muu;obl
võtma maha - ad (kellel/millel);võtma maha;ad (kellel/millel);vahel;vahel;muu;obl
möllama - ad (kellel/millel);möllama;ad (kellel/millel);mitte kunagi;alati;muu;obl
kaduma ära - ad (kellel/millel);kaduma ära;ad (kellel/millel);vahel;vahel;muu;obl
lamama - ad (kellel/millel);lamama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
murduma - ad (kellel/millel);murduma;ad (kellel/millel);vahel;vahel;muu;obl
võidutsema - ad (kellel/millel);võidutsema;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
langetama - ad (kellel/millel);langetama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
moodustuma - ad (kellel/millel);moodustuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
julgema - ad (kellel/millel);julgema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
mõõtma - ad (kellel/millel);mõõtma;ad (kellel/millel);vahel;vahel;muu;obl
eksisteerima - ad (kellel/millel);eksisteerima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
katma - ad (kellel/millel);katma;ad (kellel/millel);mitte kunagi;alati;muu;obl
käima ära - ad (kellel/millel);käima ära;ad (kellel/millel);mitte kunagi;alati;muu;obl
mäletama - ad (kellel/millel);mäletama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
hävima - ad (kellel/millel);hävima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kuulutama välja - ad (kellel/millel);kuulutama välja;ad (kellel/millel);mitte kunagi;vahel;muu;obl
plaanima - ad (kellel/millel);plaanima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
puhuma - ad (kellel/millel);puhuma;ad (kellel/millel);mitte kunagi;vahel;muu ja pole kindel;obl
tänama - ad (kellel/millel);tänama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kaasnema - ad (kellel/millel);kaasnema;ad (kellel/millel);vahel;vahel;muu;obl
süüdistama - ad (kellel/millel);süüdistama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
korduma - ad (kellel/millel);korduma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
küündima - ad (kellel/millel);küündima;ad (kellel/millel);vahel;vahel;muu;obl
lõhkuma - ad (kellel/millel);lõhkuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
sõnama - ad (kellel/millel);sõnama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
kahanema - ad (kellel/millel);kahanema;ad (kellel/millel);vahel;vahel;muu;obl
õpetama - ad (kellel/millel);õpetama;ad (kellel/millel);mitte kunagi;vahel;muu ja pole kindel;obl
demonstreerima - ad (kellel/millel);demonstreerima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
ehitama - ad (kellel/millel);ehitama;ad (kellel/millel);mitte kunagi;alati;muu;obl
laekuma - ad (kellel/millel);laekuma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
ühinema - ad (kellel/millel);ühinema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
edastama - ad (kellel/millel);edastama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
sõitma välja - ad (kellel/millel);sõitma välja;ad (kellel/millel);mitte kunagi;vahel;muu ja pole kindel;obl
uppuma - ad (kellel/millel);uppuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
andma välja - ad (kellel/millel);andma välja;ad (kellel/millel);mitte kunagi;vahel;muu;obl
vigastama - ad (kellel/millel);vigastama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
võtma ära - ad (kellel/millel);võtma ära;ad (kellel/millel);vahel;vahel;muu;obl
minema lahti - ad (kellel/millel);minema lahti;ad (kellel/millel);vahel;vahel;muu;obl
tõdema - ad (kellel/millel);tõdema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
häirima - ad (kellel/millel);häirima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tulema kokku - ad (kellel/millel);tulema kokku;ad (kellel/millel);mitte kunagi;alati;muu;obl
kinkima - ad (kellel/millel);kinkima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
purustama - ad (kellel/millel);purustama;ad (kellel/millel);vahel;vahel;muu ja pole kindel;obl
vabanema - ad (kellel/millel);vabanema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
võtma ette - ad (kellel/millel);võtma ette;ad (kellel/millel);mitte kunagi;vahel;muu ja pole kindel;obl
erinema - ad (kellel/millel);erinema;ad (kellel/millel);mitte kunagi;vahel;muu ja pole kindel;obl
rakendama - ad (kellel/millel);rakendama;ad (kellel/millel);mitte kunagi;alati;muu;obl
süütama - ad (kellel/millel);süütama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
lausuma - ad (kellel/millel);lausuma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
ennustama - ad (kellel/millel);ennustama;ad (kellel/millel);mitte kunagi;alati;pole kindel;obl
jääma maha - ad (kellel/millel);jääma maha;ad (kellel/millel);vahel;vahel;muu;obl
aitama kaasa - ad (kellel/millel);aitama kaasa;ad (kellel/millel);mitte kunagi;vahel;muu;obl
andma üle - ad (kellel/millel);andma üle;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kartma - ad (kellel/millel);kartma;ad (kellel/millel);vahel;vahel;muu;obl
välistama - ad (kellel/millel);välistama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kaitsema - ad (kellel/millel);kaitsema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
säilitama - ad (kellel/millel);säilitama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
väljendama - ad (kellel/millel);väljendama;ad (kellel/millel);mitte kunagi;alati;pole kindel;obl
hoiatama - ad (kellel/millel);hoiatama;ad (kellel/millel);mitte kunagi;alati;muu;obl
kordama - ad (kellel/millel);kordama;ad (kellel/millel);vahel;vahel;muu;obl
lagunema - ad (kellel/millel);lagunema;ad (kellel/millel);mitte kunagi;vahel;muu;obl
päästma - ad (kellel/millel);päästma;ad (kellel/millel);mitte kunagi;alati;muu;obl
tarvitsema - ad (kellel/millel);tarvitsema;ad (kellel/millel);alati;vahel;mitte kunagi;obl
etendama - ad (kellel/millel);etendama;ad (kellel/millel);mitte kunagi;alati;muu;obl
kukkuma alla - ad (kellel/millel);kukkuma alla;ad (kellel/millel);mitte kunagi;alati;muu;obl
röövima - ad (kellel/millel);röövima;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
lehvima - ad (kellel/millel);lehvima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
liituma - ad (kellel/millel);liituma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
koostama - ad (kellel/millel);koostama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
olema nõus - ad (kellel/millel);olema nõus;ad (kellel/millel);mitte kunagi;alati;muu;obl
kostma - ad (kellel/millel);kostma;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
olema alles - ad (kellel/millel);olema alles;ad (kellel/millel);vahel;vahel;muu ja pole kindel;obl
käima läbi - ad (kellel/millel);käima läbi;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
rõõmustama - ad (kellel/millel);rõõmustama;ad (kellel/millel);mitte kunagi;alati;muu;obl
teostama - ad (kellel/millel);teostama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
tungima - ad (kellel/millel);tungima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
hiilgama - ad (kellel/millel);hiilgama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
jääma pooleli - ad (kellel/millel);jääma pooleli;ad (kellel/millel);vahel;alati;mitte kunagi;obl
juhatama - ad (kellel/millel);juhatama;ad (kellel/millel);mitte kunagi;alati;mitte kunagi;obl
ärkama - ad (kellel/millel);ärkama;ad (kellel/millel);mitte kunagi;alati;muu;obl
ronima - ad (kellel/millel);ronima;ad (kellel/millel);mitte kunagi;vahel;muu;obl
hõivama - ad (kellel/millel);hõivama;ad (kellel/millel);mitte kunagi;alati;muu;obl
jääma kinni - ad (kellel/millel);jääma kinni;ad (kellel/millel);vahel;vahel;muu;obl
algatama - ad (kellel/millel);algatama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
kurtma - ad (kellel/millel);kurtma;ad (kellel/millel);vahel;vahel;muu;obl
kõikuma - ad (kellel/millel);kõikuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
tooma välja - ad (kellel/millel);tooma välja;ad (kellel/millel);mitte kunagi;alati;muu;obl
jääma ilma - ad (kellel/millel);jääma ilma;ad (kellel/millel);vahel;vahel;mitte kunagi;obl
suunduma - ad (kellel/millel);suunduma;ad (kellel/millel);mitte kunagi;vahel;muu;obl
unustama - ad (kellel/millel);unustama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
piirama - ad (kellel/millel);piirama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
treenima - ad (kellel/millel);treenima;ad (kellel/millel);vahel;vahel;muu;obl
valmistuma - ad (kellel/millel);valmistuma;ad (kellel/millel);mitte kunagi;alati;muu;obl
ootama ees - ad (kellel/millel);ootama ees;ad (kellel/millel);mitte kunagi;alati;muu;obl
puutuma kokku - ad (kellel/millel);puutuma kokku;ad (kellel/millel);mitte kunagi;vahel;muu;obl
põhjendama - ad (kellel/millel);põhjendama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
saama läbi - ad (kellel/millel);saama läbi;ad (kellel/millel);mitte kunagi;vahel;muu;obl
äratama - ad (kellel/millel);äratama;ad (kellel/millel);mitte kunagi;alati;muu;obl
täiendama - ad (kellel/millel);täiendama;ad (kellel/millel);mitte kunagi;alati;muu;obl
asetsema - ad (kellel/millel);asetsema;ad (kellel/millel);mitte kunagi;alati;muu;obl
olema kinni - ad (kellel/millel);olema kinni;ad (kellel/millel);vahel;vahel;muu;obl
sisaldama - ad (kellel/millel);sisaldama;ad (kellel/millel);mitte kunagi;vahel;muu;obl
leppima kokku - ad (kellel/millel);leppima kokku;ad (kellel/millel);mitte kunagi;vahel;muu;obl
