verb,compound1,compound2,obl,obl_form
Maardu,,,maa,sg in
võtma,,,auditoorium,sg in
huvitama,,,riigiamet,sg in
erinev,,,maailm,sg in
tähendama,,,Eesti,sg in
seisukoht,,,bürokraatia,sg in
viitama,,,regioon,sg in
tekitama,,,küsimus,sg in
domineerima,,,ida,sg in
kuuluma,,,pere,sg in
kohtama,,,Madrid,sg in
nägema,,,Eesti,sg in
jääma,vahele,,Helsingi,sg in
peituma,,,ajalugu,sg in
president,,,Tokyo,sg in
purustus,,,lennukeelutsoon,pl in
tekitama,,,inimene,pl in
asuma,,,aprill,sg in
asuma,,,ring,sg in
tegutsema,,,riik,sg in
viibima,,,hooldekodu,sg in
mängima,,,unioon,sg in
rääkima,,,elu,sg in
võimaldama,,,eelarve,sg in
selgitama,,,kool,sg in
küsima,,,algus,sg in
küsima,,,rahatasku,sg in
hakkama,,,organisatsioon,pl in
siis,,,ajaleht,pl in
tunduma,,,karikas,sg in
mina,,,luurekool,sg in
saatma,,,sõjavägi,sg in
KGB,,,algus,sg in
KGB,,,Soome,sg in
võimalik,,,Soome,sg in
hirmutama,,,välisriik,pl in
ametnik,,,mõte,sg in
filosofeerima,,,meditsiin,sg in
filosofeerima,,,firma,sg in
lihtne,,,kliinikum,sg in
valitsema,,,tegelikkus,sg in
valitsema,,,kliinik,pl in
täituma,,,sõjatööstus,sg in
mina,,,kaitsevägi,sg in
kasutama,,,võitlus,sg in
sisaldama,,,vangla,pl in
tähendama,,,piirkond,sg in
avanema,,,detsember,sg in
veetma,,,linnaruum,sg in
eesmärk,,,kesklinn,sg in
seis,,,lõpp,sg in
Keskerakond,,,Riigikogu,sg in
hakkama,,,see,pl in
mängima,,,näidend,sg in
saatma,,,varietee,sg in
selline,,,silm,sg in
töö,,,pank,sg in
meel,,,üks,sg in
meel,,,algus,sg in
meel,,,stiil,sg in
hakkama,,,Eesti,sg in
märkama,,,rägastik,sg in
seisnema,,,teadmatus,sg in
üks,,,asi,pl in
raskem,,,noorukiiga,sg in
sarnanema,,,amet,sg in
minema,,,märulifilm,sg in
asuma,,,vesi,pl in
mart,,,suund,sg in
89.,,,maakond,sg in
suutma,,,aasta,sg in
tegema,,,algus,sg in
tegema,,,sigala,pl in
kirjeldama,,,jaanuar,sg in
rakendama,,,organiseerimine,sg in
üritama,,,algus,sg in
saanud,,,Eesti,sg in
soetanud,,,Tartu,sg in
pidama,,,otsustamisprotsess,pl in
muutuma,,,nõukogu,sg in
hea,,,tunked,pl in
tulema,esile,,maakond,pl in
veetma,,,Peterburi,sg in
veetma,,,Koordi,sg in
teadma,,,kohus,sg in
ütlema,,,klass,sg in
puuduma,,,Eesti,sg in
kahtlema,,,demokraatia,sg in
tegevsekretär,,,ühendus,sg in
sulgema,,,Lääne-Euroobas,sg in
pidama,,,mastaap,sg in
aduma,,,elu,sg in
väitma,,,Eesti,sg in
peituma,,,tõik,sg in
ajutiselt,,,Tartu,sg in
alustama,,,sari,sg in
lähedane,,,kriitika,sg in
tegema,,,Tartu,sg in
paisutamine,,,olu,pl in
kirjutama,ümber,,elujärk,sg in
tekitama,,,silm,pl in
kehtestama,,,aasta,sg in
ilmuma,,,jaam,sg in
puutunud,kokku,,Eesti,sg in
puutunud,kokku,,elu,sg in
esimene,,,teooria,pl in
nägema,välja,,aruanne,sg in
käima,,,riik,pl in
asuma,,,osakond,sg in
asuma,,,doktorantuur,sg in
palju,,,Eesti,sg in
laekuma,,,õppekava,sg in
andma,,,maailm,sg in
mudel,,,mõte,sg in
rakendama,,,riik,pl in
mure,,,Kirde-Eesti,sg in
mure,,,kaevandus,pl in
arvama,,,osa,sg in
see,,,taim,pl in
leidma,,,laine,sg in
leidma,,,luule,sg in
leidma,,,sotsrealism,sg in
takistama,,,ühiskond,sg in
kirjutama,,,koobas,sg in
tegevusala,,,Eesti,sg in
käima,,,pere,sg in
käima,,,keeris,sg in
kaasnema,,,mõttemaailm,sg in
pidama,,,jalgpall,sg in
arvestama,välja,,USA,sg in
loomulik,,,valgus,sg in
Pärmiks,,,Eesti,sg in
panema,kõrvale,,vaesus,sg in
