entity_root,count
käeulatus,12
pääsküla,12
Kairo,12
loode,12
orkester,12
teleesinemine,12
Tbilisi,12
otstarbekus,12
matsh,12
kõrgliiga,12
kabel,12
palk,12
rahvamaja,12
Tõravere,12
arv,12
tsirkus,12
Wimbledoni,12
Vegas,12
EM-valikmäng,12
maadlus,12
pluss,12
lastehaigla,12
maapank,12
äriplaan,12
genotsiid,12
muld,12
lohakus,12
Venezuela,12
otsustuskord,12
alagrupimäng,12
turniiritabel,12
jäähokiliiga,12
pidu,12
päevakeskus,12
tervishoid,12
terrorirünnak,12
risk,12
konverentsisaal,12
sõiduauto,12
kortermaja,12
kinnipidamiskoht,12
ümbrik,12
pädevus,12
mõtlemine,12
maraton,12
virts,12
garaaž,12
Shanghai,12
Alla,12
Matsalu,12
algfaas,12
Haabersti,12
maksuamet,12
paikkond,12
Liidud,12
staatus,12
jaanuarikuu,12
penaltiseeria,12
žürii,12
eramaja,12
spordiklubi,12
tekkimine,12
vannituba,12
Kihnu,12
politseiprefektuur,12
koonduslaager,12
Vormsi,12
peo,12
põrgu,12
tippvorm,12
päevakorrapunkt,12
komöödia,11
riiul,11
päriselu,11
telepilt,11
linnus,11
kabiin,11
kadu,11
dialoog,11
kaubavahetus,11
Pennsylvania,11
seadusandlus,11
siseruum,11
kriminaalmenetlus,11
skeem,11
loomariik,11
korpus,11
vanadekodu,11
rõivas,11
tagaosa,11
tempel,11
uurimistöö,11
sisu,11
juunis-juuli,11
sulg,11
kaugõpe,11
funktsioon,11
murre,11
Ugala,11
pataljon,11
söögikoht,11
finish,11
valikgrupp,11
kasv,11
väikeriik,11
kumbki,11
seim,11
valimisnimekiri,11
lõpuspurt,11
alajaam,11
nädalaleht,11
võsa,11
rahapesu,11
koostamine,11
Serbia,11
suursaatkond,11
kuulutus,11
esirind,11
mood,11
ringlus,11
tõld,11
linnapilt,11
maavõistlusmäng,11
kodumäng,11
ballett,11
euro,11
kiosk,11
tall,11
kirst,11
EPL,11
varjamine,11
õppetöö,11
ülivõrre,11
ettevalmistamine,11
Sofia,11
tool,11
magamistuba,11
kogudus,11
kahjum,11
Delfi,11
ajaloomuuseum,11
Teise,11
TÜ,11
dokumentaalfilm,11
sõjaväebaas,11
kraav,11
spordikool,11
üksus,11
MM-valikmäng,11
edelaosa,11
sotsiaalmaja,11
nõudmine,11
rakk,11
otsustus,11
vill,11
Makedoonia,11
pronksimäng,11
läänemaailm,11
rongkäik,11
