verb,compound1,compound2,obl,obl_form
õpetama,,,tema,sg all
õpetama,,,kodu,sg in
uskuma,,,Eesti,sg all
panema,püsti,,saama,te
panema,püsti,,lossihoov,sg in
panema,püsti,,mis,sg el
panema,püsti,,Mikko,sg n
kestma,,,aasta,sg g
jooksnud,läbi,,trepimaraton,sg p
jooksnud,läbi,,jõudnu,sg es
jooksnud,läbi,,pea,sg el
jooksnud,läbi,,suitsetamine,sg el
tekkima,,,tema,pl ad
tõmbama,järele,,tema,pl all
tõmbama,järele,,hobuaed,pl ad
hakkama,,,kulutus,pl tr
lootma,,,klass,sg in
sõitma,,,talv,sg ad
sõitma,,,Tallinn,sg g
kiikuma,,,parras,sg ad
kiikuma,,,saar,pl all
ootama,,,mõlema,sg ad
hea,,,distants,sg abl
hea,,,Eesti,sg in
tugi,,,hetk,sg ad
minema,,,huvi,sg kom
minema,,,Euroopa,sg ill
käima,,,mina,sg ad
kujunema,,,aasta,sg ad
minema,,,Tartu,sg g
minema,,,maa,sg p
vaimustus,,,ilu,sg el
vaimustus,,,ajahammas,sg all
piisama,,,see,sg el
sattuma,,,kodumaa,sg all
tunnistama,,,tema,sg el
märkama,,,juga,sg ter
Joanil,,,mis,sg g
teadma,,,aasta,pl p
teadma,,,mina,sg all
valehäbi,,,ajakirjandus,sg in
küsima,,,mina,sg abl
andma,,,nipp,pl kom
tegema,,,kevade,sg ad
nägema,,,raamat,sg g
otsustama,,,märts,sg ad
otsustama,,,nimi,sg kom
aitama,,,ilm,sg all
vastutus,,,töö,pl ill
vastutus,,,tähelepanu,sg kom
käima,,,Nõmme,sg g
käima,,,vanker,sg kom
leeritama,,,Kati,sg kom
tunnistama,,,töö,sg ad
tunnistama,,,aeg,sg el
tunnistama,,,aasta,sg p
tunnistama,,,Tartu,sg el
tunnistama,,,Tallinn,sg g
mõtlema,,,mina,sg ad
laveerima,mööda,,küsimus,pl el
laveerima,mööda,,osavus,sg kom
pakkuma,välja,,kirg,pl el
seisma,,,sööklatrepp,sg ad
meenutama,,,mis,sg kom
meenutama,,,aeg,sg g
sööma,,,rivistus,sg all
tahtma,,,seltskond,sg in
tahtma,,,kõik,pl el
viskama,ette,,Mariliina,sg all
müük,,,mait,sg n
müük,,,METSAMAA,sg all
teinud,,,rõõm,sg g
elama,,,pornoemme,sg g
elama,,,ema,sg ad
elama,,,laps,sg ad
Külliki,,,viibimine,sg tr
isa,,,mina,sg all
isa,,,elamine,sg tr
katus,,,lisa,sg tr
otsustama,,,aasta,pl ad
otsustama,,,vanainimene,sg g
otsustama,,,päev,sg el
otsustama,,,päev,sg g
valuline,,,mina,sg g
huvitatud,,,mina,sg el
meeter,,,kants,sg ad
meeter,,,meeter,sg g
tegema,,,naaber,pl all
tegema,,,hoov,sg in
kargama,,,aed,sg g
kargama,,,armuvalu,sg g
jõudma,,,käsi,sg in
jõudma,,,korrus,sg all
jõudma,,,cm,?
muutuma,,,tali,sg ad
muutuma,,,külm,sg el
jõudma,,,Volkswagen,sg n
tegema,,,poks,sg p
tegema,,,raskekaal,sg in
tegema,,,meistrivõistlus,pl ad
tegema,,,pronksmedal,sg all
tulema,,,lauljanna,sg ad
tulema,,,kujundamine,adt
tulema,,,tema,pl all
voodi,,,hetk,pl ad
tahtma,,,mina,sg g
valima,,,aeg,sg ad
