pat_id,pattern,verb_word,verb_compound,phrase_nr,phrase_case,deprel,adp,inf_verb
38,täheldama_1 Arg1 (teema ),täheldama,,2,,ccomp,,
39,vastama_1 Arg0 (vastaja),vastama,,1,,nsubj,,
39,vastama_1 Arg1 (teema),vastama,,2,,obj,,
39,vastama_1 Arg1 (teema),vastama,,2,,ccomp,,
39,vastama_1 Arg2 (adressaat: millele/kellele),vastama,,3,all,obl,,
40,väljendama_1 Arg0 (väljendaja),väljendama,,1,,nsubj,,
40,väljendama_1 Arg1 (teema),väljendama,,2,,obj,,
40,väljendama_1 Arg1 (teema),väljendama,,2,,ccomp,,
41,ümisema_1 Arg0 (ümiseja),ümisema,,1,,nsubj,,
41,ümisema_1 Arg1 (teema),ümisema,,2,,obj,,
41,ümisema_1 Arg1 (teema),ümisema,,2,,ccomp,,
42,ütlema_1 Arg0 (ütleja),ütlema,,1,,nsubj,,
42,ütlema_1 Arg1 (teema),ütlema,,2,,obj,,
42,ütlema_1 Arg1 (teema),ütlema,,2,,ccomp,,
42,ütlema_1 Arg2 (adressaat),ütlema,,3,all,obl,,
42,ütlema_1 Arg_xarg,ütlema,,4,,xcomp,,
43,kurtma_1 Arg0 (kurtja),kurtma,,1,,nsubj,,
44,sosistama_1 Arg0 (sosistaja),sosistama,,1,,nsubj,,
44,sosistama_1 Arg1 (teema),sosistama,,2,,obj,,
44,sosistama_1 Arg1 (teema),sosistama,,2,,ccomp,,
44,sosistama_1 Arg2 (adressaat),sosistama,,3,all,obl,,
45,jutustama_1 Arg0 (jutustaja),jutustama,,1,,nsubj,,
45,jutustama_1 Arg1 (teema),jutustama,,2,,obj,,
45,jutustama_1 Arg1 (teema),jutustama,,2,,ccomp,,
45,jutustama_1 Arg2 (adressaat),jutustama,,3,all,obl,,
46,vestlema_1 Arg0 (vestleja),vestlema,,1,,nsubj,,
46,"vestlema_1 Arg2 (kaasvestleja, adressaat)",vestlema,,2,kom,obl,,
47,tajuma_1 Arg0 (tajuja),tajuma,,1,,nsubj,,
47,tajuma_1 Arg1 (teema),tajuma,,2,,obj,,
47,tajuma_1 Arg1 (teema),tajuma,,2,,ccomp,,
48,märkama_1 Arg0 (märkaja),märkama,,1,,nsubj,,
48,märkama_1 Arg1 (teema),märkama,,2,,obj,,
48,märkama_1 Arg1 (teema),märkama,,2,,ccomp,,
49,kuulama_1 Arg0 (kuulaja),kuulama,,1,,nsubj,,
49,kuulama_1 Arg1 (teema),kuulama,,2,,obj,,
50,kuulma_1 Arg0 (kuulja),kuulma,,1,,nsubj,,
50,kuulma_1 Arg1 (teema),kuulma,,2,,obj,,
50,kuulma_1 Arg1 (teema),kuulma,,2,,ccomp,,
50,kuulma_1 Arg2 (allikas (kellelt),kuulma,,3,abl,obl,,
50,kuulma_1 Arg3 (Millest (pole sellest midagi kuulnud) stiimul??),kuulma,,4,el,obl,,
50,kuulma_1 Arg3 (Millest (pole sellest midagi kuulnud) stiimul??),kuulma,,4,gen,obl,kohta,
50,kuulma_1 Arg_xarg,kuulma,,5,,xcomp,,
51,nägema_1 Arg0 (nägija),nägema,,1,,nsubj,,
51,nägema_1 Arg1 (stiimul),nägema,,2,,obj,,
51,nägema_1 Arg1 (stiimul),nägema,,2,,ccomp,,
52,vaatama_1 Arg0 (vaataja),vaatama,,1,,nsubj,,
52,"vaatama_1 Arg1 (stiimul: vaatan seda, vaatan, et, )",vaatama,,2,,obj,,
52,"vaatama_1 Arg1 (stiimul: vaatan seda, vaatan, et, )",vaatama,,2,,ccomp,,
52,vaatama_1 Arg4 (kellele otsa vaadatakse),vaatama,,3,all,obl,,
53,vaatlema_1 Arg0 (vaatleja),vaatlema,,1,,nsubj,,
53,vaatlema_1 Arg1 (stiimul),vaatlema,,2,,obj,,
53,vaatlema_1 Arg1 (stiimul),vaatlema,,2,,ccomp,,
54,piiluma_1 Arg0 (piiluja),piiluma,,1,,nsubj,,
54,piiluma_1 Arg1 (teema/stiimul),piiluma,,2,,obj,,
54,piiluma_1 Arg1 (teema/stiimul),piiluma,,2,,ccomp,,
54,piiluma_1 Arg1 (teema/stiimul),piiluma,,2,gen,obl,poole,
54,piiluma_1 Arg1 (teema/stiimul),piiluma,,2,ill,obl,,
55,vahtima_1 Arg0 (vahtija),vahtima,,1,,nsubj,,
55,vahtima_1 Arg1 (teema/stiimul/sihtkoht (vahtis pimedusse),vahtima,,2,,obj,,
55,vahtima_1 Arg1 (teema/stiimul/sihtkoht (vahtis pimedusse),vahtima,,2,,ccomp,,
55,vahtima_1 Arg1 (teema/stiimul/sihtkoht (vahtis pimedusse),vahtima,,2,ill,obl,,
56,silmitsema_1 Arg0 (silmitseja),silmitsema,,1,,nsubj,,
56,silmitsema_1 Arg1 (teema/stiimul),silmitsema,,2,,obj,,
57,jälgima_1 Arg0 (jälgija),jälgima,,1,,nsubj,,
57,jälgima_1 Arg1 (teema/stiimul),jälgima,,2,,obj,,
57,jälgima_1 Arg1 (teema/stiimul),jälgima,,2,,ccomp,,
58,näitama_1 Arg0 (näitaja),näitama,,1,,nsubj,,
58,näitama_1 Arg1 (teema),näitama,,2,,obj,,
58,näitama_1 Arg1 (teema),näitama,,2,,ccomp,,
58,näitama_1 Arg2 (koht (telekas näidati),näitama,,3,in,obl,,
58,näitama_1 Arg3 (adressaat),näitama,,4,ill,obl,,
59,hakkama_1 Arg0 (hakkaja),hakkama,,1,,nsubj,,
59,hakkama_1 Arg0 (hakkaja),hakkama,,1,,csubj,,
59,hakkama_1 Arg1 (tegevus/tulemusseisund),hakkama,,2,,xcomp,,
60,asuma_1 Arg0,asuma,,1,,nsubj,,
61,asuma_2 Arg0,asuma,,1,,nsubj,,
61,asuma_2 Arg5,asuma,,2,,xcomp,,
62,asuma_3 Arg1,asuma,,1,,nsubj,,
63,leidma_1 Arg0 (leidja),leidma,,1,,nsubj,,
63,leidma_1 Arg1 (teema),leidma,,2,,obj,,
63,leidma_1 Arg1 (teema),leidma,,2,,ccomp,,
63,leidma_1 Arg2 (adressaat/benefitsient),leidma,,3,all,obl,,
64,tahtma_1 Arg0 (tahtja),tahtma,,1,,nsubj,,
64,tahtma_1 Arg1 (teema),tahtma,,2,,obj,,
64,tahtma_1 Arg1 (teema),tahtma,,2,,xcomp,,
64,tahtma_1 Arg1 (teema),tahtma,,2,,ccomp,,
65,kasutama_1 Arg0 (kasutaja),kasutama,,1,,nsubj,,
65,kasutama_1 Arg1 (teema),kasutama,,2,,obj,,
65,kasutama_1 Arg2 (eesmärk),kasutama,,3,ad,obl,,
65,kasutama_1 Arg2 (eesmärk),kasutama,,3,gen,obl,suhtes,
65,kasutama_1 Arg2 (eesmärk),kasutama,,3,tr,obl,,
65,kasutama_1 Arg2 (eesmärk),kasutama,,3,in,obl,,
65,kasutama_1 Arg3 (vahend),kasutama,,4,es,obl,,
