verb,verb_compound,morph_case,ex_count,loc_count,actor_count,time_count,event_count,unk_count,label_count,labels,loc_percent,actor_percent,time_percent,event_percent,unk_percent
järgnema,,el,15,9,0,0,0,6,2,"('UNK', 'loc')",60.0,0.0,0.0,0.0,40.0
jätkama,,abl,7,4,1,0,0,2,3,"('UNK', 'actor', 'loc')",57.14285714285714,14.285714285714285,0.0,0.0,28.57142857142857
jätma,,in,20,14,2,0,1,3,4,"('UNK', 'actor', 'event', 'loc')",70.0,10.0,0.0,5.0,15.0
jätma,ära,in,3,3,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
jääma,,abl,38,15,3,2,0,18,4,"('UNK', 'actor', 'loc', 'time')",39.473684210526315,7.894736842105263,5.263157894736842,0.0,47.368421052631575
jääma,,adit,42,30,2,1,0,9,4,"('UNK', 'actor', 'loc', 'time')",71.42857142857143,4.761904761904762,2.380952380952381,0.0,21.428571428571427
jääma,,all,36,19,12,0,0,5,3,"('UNK', 'actor', 'loc')",52.77777777777778,33.33333333333333,0.0,0.0,13.88888888888889
jääma,,el,26,19,1,0,0,6,3,"('UNK', 'actor', 'loc')",73.07692307692307,3.8461538461538463,0.0,0.0,23.076923076923077
jääma,alla,all,24,21,0,0,0,3,2,"('UNK', 'loc')",87.5,0.0,0.0,0.0,12.5
jääma,alla,in,20,20,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
jääma,alles,el,25,15,2,1,1,6,5,"('UNK', 'actor', 'event', 'loc', 'time')",60.0,8.0,4.0,4.0,24.0
jääma,ette,ad,8,5,0,1,1,1,4,"('UNK', 'event', 'loc', 'time')",62.5,0.0,12.5,12.5,12.5
jääma,ilma,el,21,15,1,0,0,5,3,"('UNK', 'actor', 'loc')",71.42857142857143,4.761904761904762,0.0,0.0,23.809523809523807
jääma,ilma,in,7,7,0,0,0,0,1,"('loc',)",100.0,0.0,0.0,0.0,0.0
jääma,järele,el,29,24,4,0,0,1,3,"('UNK', 'actor', 'loc')",82.75862068965517,13.793103448275861,0.0,0.0,3.4482758620689653
jääma,kõrvale,in,6,4,0,0,0,2,2,"('UNK', 'loc')",66.66666666666666,0.0,0.0,0.0,33.33333333333333
jääma,välja,el,25,18,2,0,0,5,3,"('UNK', 'actor', 'loc')",72.0,8.0,0.0,0.0,20.0
jääma,ära,el,7,2,1,0,0,4,3,"('UNK', 'actor', 'loc')",28.57142857142857,14.285714285714285,0.0,0.0,57.14285714285714
jõudma,,abl,22,18,2,0,0,2,3,"('UNK', 'actor', 'loc')",81.81818181818183,9.090909090909092,0.0,0.0,9.090909090909092
jõudma,,all,24,22,1,0,0,1,3,"('UNK', 'actor', 'loc')",91.66666666666666,4.166666666666666,0.0,0.0,4.166666666666666
jõudma,,el,30,26,1,0,0,3,3,"('UNK', 'actor', 'loc')",86.66666666666667,3.3333333333333335,0.0,0.0,10.0
jõudma,,in,34,30,2,0,1,1,4,"('UNK', 'actor', 'event', 'loc')",88.23529411764706,5.88235294117647,0.0,2.941176470588235,2.941176470588235
jõudma,ette,el,9,7,0,0,0,2,2,"('UNK', 'loc')",77.77777777777779,0.0,0.0,0.0,22.22222222222222
jõudma,järele,all,12,10,2,0,0,0,2,"('actor', 'loc')",83.33333333333334,16.666666666666664,0.0,0.0,0.0
kaaluma,,all,11,4,3,0,0,4,3,"('UNK', 'actor', 'loc')",36.36363636363637,27.27272727272727,0.0,0.0,36.36363636363637
kaaluma,,in,13,7,0,0,0,6,2,"('UNK', 'loc')",53.84615384615385,0.0,0.0,0.0,46.15384615384615
kaduma,,all,17,10,2,0,1,4,4,"('UNK', 'actor', 'event', 'loc')",58.82352941176471,11.76470588235294,0.0,5.88235294117647,23.52941176470588
kaebama,,in,7,5,0,0,1,1,3,"('UNK', 'event', 'loc')",71.42857142857143,0.0,0.0,14.285714285714285,14.285714285714285
kaevama,,ad,4,1,0,1,0,2,3,"('UNK', 'loc', 'time')",25.0,0.0,25.0,0.0,50.0
kaevama,,all,3,2,1,0,0,0,2,"('actor', 'loc')",66.66666666666666,33.33333333333333,0.0,0.0,0.0
kahandama,,in,2,0,0,0,1,1,2,"('UNK', 'event')",0.0,0.0,0.0,50.0,50.0
kahanema,,in,12,9,0,0,0,3,2,"('UNK', 'loc')",75.0,0.0,0.0,0.0,25.0
