"word","koht","aeg","seisund","sündmus","other_types"
demobiliseerima,,,,✓,tegevus
demobiliseerimine,,,,✓,tegevus
demobiliseeruma,,,,✓,tegevus
depoo,✓,,,,materjal/aine
depressioon,,,✓,,nähtus_loodus
dets,,✓,,,esitus
detsember,,✓,,,esitus
detsembrikuu,,✓,,,esitus
deviatsioon,,,✓,,omadus_kval
diabeetiline,,,✓,,omadus
diakrooniline,,✓,,,omadus
diasporaa,,,✓,,inimene
diele,✓,,,,osa
digipööre,,,,✓,tegevus
digisalvestus,,,,✓,nähtus_füüs
digitaalsalvestus,,,,✓,nähtus_füüs
digiärksus,,,✓,,omadus_psühh
diktatuur,,✓,,,abstr/konkr
dinee,,,,✓,toit
dirigendipult,✓,,,,ese_instru
disharmoonia,,,✓,,nähtus
diskontinuiteet,,,✓,,omadus_abstr
dissonants,,,✓,,nähtus_füüs
distress,,,✓,,nähtus_psühh
divertiikul,✓,,✓,,
diviis,✓,,,,esitus_kujutis
doktorikool,,,,✓,abstr
DoS-rünnak,,,,✓,tegevus
DoS-rünne,,,,✓,tegevus
drive-in,✓,,,,omadus_kval
duell,,,,✓,tegevus
dušinurk,✓,,,,ese_instru
duuma,✓,,,,ese_semio
düsosmia,,,✓,,nähtus_loodus
düstress,,,✓,,nähtus_psühh
ead ja ajad,,✓,,,ADV_aeg
eatu,,✓,,,omadus
ebabilanss,,,✓,,esitus_mõõt
ebakorrektsus,,,✓,,omadus_kval
ebakõla,,,✓,,nähtus_füüs
ebaloogilisus,,,✓,,omadus_kval
ebasümmeetria,,,✓,,omadus_füüs
ebatäpsus,,,✓,,abstr/konkr
ebaõiglus,,,✓,,tegevus_tegu
Edam,✓,,,,toit
edasimüüja,✓,,,,in_tegija
edel,✓,,,,esitus_tähis
edemus,,,✓,,abstr/konkr
edulugu,,,✓,✓,
edumaa,,,✓,,abstr/konkr
eduseis,,,✓,,abstr_asend/suund
edutus,,,✓,,VERB_muutust põhjustama
Eeden,✓,,✓,,
Eedeni aed,✓,,✓,,
eelaste,,✓,,,nähtus
eelisjärjekord,,✓,✓,,
eelkaitsmine,,,,✓,tegevus
eellöök,,,,✓,nähtus_füüs
eelnenu,,✓,,✓,
eelpension,,,✓,,ese_raha
eelproov,,,,✓,tegevus_tegu
eelsoodumus,,,✓,,omadus_kval
eeskamber,✓,,,,kehaosa
eeskava,,,,✓,ese_kunst
Eesti Vabariik,✓,,,,esitus_info
eeternarkoos,,,✓,,tegevus_muutus
eetertuimastus,,,✓,,tegevus_muutus
eha,,✓,,,nähtus_loodus
ehakuma,,✓,,,nähtus_loodus
ehalkäik,,,,✓,tegevus_tegu
ehalkäimine,,,,✓,tegevus_tegu
ehapuna,,✓,,,nähtus_loodus
ehholaalia,,,✓,,tegevus_kõnetegu
ehisviil,✓,,,,osa
ehitusjärk,✓,,,,tegevus
eile,,✓,,,ADV_aeg
eine,,,,✓,toit
ei ole kiita,,,✓,,omadus_kval
ekiden,,,,✓,vald
EKP,✓,,,,esitus
eKr,,✓,,,esitus_tähis
eksalteeritus,,,✓,,nähtus_psühh
ekshibitsionism,,,✓,,nähtus_psühh
eksistents,,,✓,,nähtus
eksmatrikulatsioon,,,,✓,tegevus_tegu
eksmatrikuleerimine,,,,✓,tegevus_tegu
eksmatt,,,,✓,tegevus_tegu
eksootikareis,,,,✓,tegevus
ekspertlus,,,✓,,tegevus
ekspo,,,,✓,ese_kunst
eksportija,✓,,,,in_roll
eksportöör,✓,,,,in_roll
ekstraklass,,,✓,,omadus_kval
ekstreem,,,✓,,omadus_kval
elamine,✓,,,,ese_instru
elamus,,,,✓,nähtus_psühh
elamusretk,,,,✓,tegevus
elevaator,✓,,,,ese_instru
elujärg,,,✓,,abstr/konkr
eluköök,✓,,,,osa
elupõlv,,✓,✓,,
elupõlved,,✓,,,ADV_aeg
elurikkus,,,✓,,omadus_kval
eluring,,✓,✓,,
e.m.a,,✓,,,esitus_tähis
emapiim,,,✓,,toit
embus,,,✓,,tegevus_tegu
emmetroopia,,,✓,,nähtus
EN,✓,,,,esitus
enampakkumine,,,,✓,abstr/konkr
energiakadu,,,✓,,nähtus_füüs
eneseisolatsioon,,,✓,,abstr/konkr
ennak,,✓,,,nähtus
enne Kristust,,✓,,,esitus_tähis
enne meie ajaarvamist,,✓,,,esitus_tähis
EP,✓,,,,esitus
epileptiline,,,✓,,omadus
epitsenter,✓,,,,nähtus_loodus
epopöa,,,,✓,ese_semio
eramets,✓,,,,taim
erandkorras,,✓,,,ADV_viis
erasõit,,,,✓,tegevus
eraõiguslik isik,✓,,,,abstr
erekas,,,✓,,ese_instru
eriklass,✓,,,,in_roll
erilaad,,,✓,,abstr/konkr_omadus
erilisus,,,✓,,omadus_kval
eriolümpia,,,,✓,tegevus
eriosakond,✓,,,,inimene
eriprojekt,,,,✓,ese_semio
eripära,,,✓,,abstr/konkr_omadus
eripärasus,,,✓,,abstr/konkr_omadus
erosioon,,,✓,,nähtus_loodus
erruminek,,,,✓,tegevus
ESA,✓,,,,esitus
eshatoloogia,,,,✓,abstr
esiettekanne,,,,✓,tegevus
esikorrus,✓,,,,osa
esimus,,,✓,,abstr_asend/suund
esindus,✓,,,,in_roll
esindusorgan,✓,,,,inimene
esine,✓,,,,omadus_koht
esinemisnärv,,,✓,,omadus_psühh
esinemispalavik,,,✓,,nähtus_psühh
esinemisärevus,,,✓,,nähtus_psühh
esirida,✓,,✓,,
esitelu,,,,✓,tegevus
esitlus,,,,✓,tegevus
esitus,,,,✓,tegevus
eskatoloogia,,,,✓,abstr
esmaesitus,,,,✓,tegevus
esmaettekanne,,,,✓,tegevus
esmaspäev,,✓,,,esitus
esmassünnitus,,,,✓,tegevus_tegu
esmasünnitus,,,,✓,tegevus_tegu
esmatarve,,,✓,,abstr
estraad,✓,,,,vald
etapp,✓,,,,abstr/konkr
etteanne,,,✓,,tegevus
ettelugemine,,,,✓,ese_semio
ettepoole,,✓,,,ADV_koht
ettevõte,✓,,,,tegevus
eufooria,,,✓,,nähtus_psühh
Euroopa Keskpank,✓,,,,esitus
Euroopa Kosmoseagentuur,✓,,,,esitus
Euroopa Nõukogu,✓,,,,esitus
Euroopa Parlament,✓,,,,esitus
europarlament,✓,,,,esitus
EV,✓,,,,esitus_info
evakuatsioon,,,✓,,tegevus
faatsies,✓,,,,abstr/konkr
fallos,✓,,,,esitus_kujutis
farm,✓,,,,esitus
fassaad,✓,,,,nähtus
FC,✓,,,,inimene
fibrillatsioon,,,✓,,tegevus
fibroos,,,✓,,nähtus
fiksidee,,,✓,,nähtus_psühh
filmoteek,✓,,,,ese_kunst
finaalmäng,,,,✓,tegevus_mäng
finaalvõistlus,,,,✓,tegevus_mäng
finiš,✓,,,,abstr/konkr
fissuur,,,✓,,nähtus_loodus
folk,,,,✓,ese_kunst
fondihaldur,✓,,,,in_elukutse
fondijuht,✓,,,,in_elukutse
fondivalitseja,✓,,,,in_elukutse
fonoteek,✓,,,,ese
fontään,✓,,,,materjal/aine
foobia,,,✓,,nähtus_psühh
foonika,✓,,,,abstr/konkr
fortifikatsioon,✓,,,,vald
fosforiidimaardla,✓,,,,materjal/aine
fotoarhiiv,✓,,,,ese
fotosein,✓,,,,ese_kunst
fotosensitiivsus,,,✓,,nähtus_füüs
fototeek,✓,,,,ese_kunst
