"word","koht","aeg","seisund","sündmus","other_types"
pärusvaldus,✓,,,,abstr/konkr
päästeaktsioon,,,,✓,tegevus
päästekompanii,✓,,,,in_roll
pöögimets,✓,,,,taim
pööning,✓,,,,kehaosa
pöörak,✓,,,,abstr/konkr
pöördekoht,✓,✓,,,
pööring,,,,✓,tegevus
pöörlemisperiood,,✓,,,esitus_mõõt
pühaba,,✓,,,esitus
pühade vahe,,✓,,,tegevus_kõnetegu
pühadevahe,,✓,,,tegevus_kõnetegu
pühapäev,,✓,,,esitus
Püha Tool,✓,,,,abstr
püha õhtusöömaaeg,,,,✓,abstr/konkr
pühitsus,,,✓,,tegevus_tegu
püloon,✓,,,,ese_instru
püorröa,,,✓,,tegevus
püreksia,,,✓,,nähtus_loodus
püsi,,,✓,,omadus_aeg
püsikestvus,,,✓,,omadus_kval
püsirahastus,,,✓,,ese_raha
püsitus,,,✓,,omadus_kval
püst,✓,,,,omadus_füüs
püstak,✓,,,,ese_instru
püstasend,,,✓,,abstr_asend/suund
püstik,✓,,,,ese_instru
püstine,✓,,,,omadus_füüs
püstloodne,✓,,,,omadus_füüs
püstne,✓,,,,omadus_füüs
queer,,,✓,,inimene
raad,✓,,,,esitus
raada,✓,,,,in_roll
raadiosaatejaam,✓,,,,ese_instru
raadioteater,✓,,,,ese_kunst
raamatuaasta,,✓,,✓,
raamatuäri,✓,,,,tegevus
raba,✓,,,,materjal/aine
rabamatk,,,,✓,tegevus
rabandus,,,✓,,nähtus_psühh
rabedus,,,✓,,omadus_füüs
rahaauk,✓,,,,abstr
rahalaenaja,✓,,,,in_roll
rahaliit,✓,,,,abstr
rahamure,,,✓,,abstr/konkr
rahavahetus,,,,✓,tegevus
rahetera,,,✓,,nähtus_loodus
Rahukorpus,✓,,,,in_elukutse
rahukõnelused,,,,✓,tegevus
rahulikkus,,,✓,,omadus_psühh
rahuläbirääkimised,,,,✓,tegevus
rahupõli,,✓,✓,,
rahupõlv,,✓,✓,,
rahusadam,✓,,✓,,
rahuvalve,✓,,,,tegevus
rahvaesindus,✓,,,,in_roll
rahvakoosolek,,,,✓,in_roll
rahvaliikumine,,,,✓,tegevus
rahvaloendus,,,,✓,tegevus
rahvavõim,,,✓,,abstr/konkr
raiendik,✓,,,,taim
raiesmaa,✓,,,,taim
raiesmik,✓,,,,taim
raiestik,✓,,,,taim
raig,,,✓,,kehaosa
rajoon,✓,,,,abstr/konkr
raksu,,,✓,,tegevus
raksus,,,✓,,tegevus
rallikross,,,,✓,vald
rambus,,,✓,,nähtus_psühh
rammestus,,,✓,,nähtus_psühh
rammetus,,,✓,,nähtus_psühh
rand,✓,,,,ese_raha
rangis,,,✓,,omadus
rangjalad,,,✓,,kehaosa
rannavalve,✓,,,,tegevus
rannavesi,✓,,,,materjal/aine
rannavorm,,,✓,,omadus_füüs
rannaäärne,✓,,,,omadus_koht
rannikuvesi,✓,,,,materjal/aine
rappaminek,,,✓,,tegevus_tegu
raseduskuu,,✓,,,esitus_mõõt
rasedusnädal,,✓,,,esitus_mõõt
rattajälg,✓,,,,esitus_kujutis
rattaringlus,,,✓,,abstr/konkr
rattaroobas,✓,,,,esitus_kujutis
rattarööbas,✓,,,,esitus_kujutis
raudeesriie,,,✓,,ese_instru
raudtee,✓,,,,ese_instru
raudteepolitsei,✓,,,,in_elukutse
raugus,,,✓,,omadus
rautus,,,✓,,tegevus
raviprotseduur,,,,✓,tegevus
raviseanss,,,,✓,tegevus
rdt,✓,,,,ese_instru
reastus,,,✓,,tegevus
rebend,✓,,✓,,
redaan,✓,,,,ese_instru
redu,✓,,,,in_omadus
reede,,✓,,,esitus
reesõit,,,,✓,tegevus
registreerimine,,,,✓,tegevus_tegu
regulaararmee,✓,,,,in_roll
regulaarvägi,✓,,,,in_roll
reisikorraldaja,✓,,,,in_elukutse
reisipakett,,,,✓,tegevus
reisitee,✓,,,✓,
rekonkista,,,,✓,tegevus
rektoraat,✓,,,,inimene
relvakandmine,,,✓,,tegevus
relvakonflikt,,,✓,✓,
relvaüksus,✓,,,,in_elukutse
relvistu,✓,,,,abstr/konkr
rendileandja,✓,,,,in_tegija
renditaja,✓,,,,in_tegija
renessanss,,✓,,,nähtus
rentnik,✓,,,,in_roll
reostus,,,✓,,tegevus
repressiivaparaat,✓,,,,in_roll
repressiivorgan,✓,,,,in_elukutse
reserveeritud,,,✓,,omadus_kval
reservuaar,✓,,,,ese_instru
respekt,,,✓,,nähtus_psühh
restauratsioon,,✓,,,tegevus
restoranitelk,✓,,,,ese_instru
retentsioon,,,✓,,tegevus
retk,,,,✓,tegevus
reveranss,,,,✓,tegevus_tegu
revokatsioon,,,,✓,tegevus_tegu
revolutsioon,,,,✓,nähtus
rigiidsus,,,✓,,omadus_psühh
riid,,,,✓,tegevus_kõnetegu
riideruum,✓,,,,osa
riideäri,✓,,,,tegevus
riietusruum,✓,,,,osa
riigiamet,✓,,,,tegevus
riigieksam,,,,✓,tegevus
riigikassa,✓,,,,ese_raha
riigimets,✓,,,,taim
riigiorgan,✓,,,,inimene
riigipüha,,✓,,✓,
riigitelevisioon,✓,,,,abstr
riigitoit,,,✓,,toit
riigivõlg,,,✓,,ese_raha
riisiko,,,✓,,nähtus_psühh
riitus,,,,✓,tegevus
rikkumine,,,,✓,tegevus
rikutus,,,✓,,nähtus_psühh
rindealune,✓,,,,kehaosa
ringkanal,✓,,,,kehaosa_loom
ringkond,✓,,,,in_omadus
ringmäng,,,✓,,tegevus_mäng
ringreis,,,,✓,tegevus
ringsõit,,,,✓,tegevus
ringtreening,,,,✓,tegevus
rippliustik,✓,,,,nähtus_loodus
risk,,,✓,,nähtus_psühh
riskifond,✓,,,,ese_raha
ristakas,✓,,,,tegevus_tegu
ristikogudus,✓,,,,in_roll
ristimännik,✓,,,,taim
ristiretk,,,,✓,tegevus
rististe,,,✓,,abstr_asend/suund
ristitee,✓,,,✓,
ristlus,,,,✓,tegevus
ristsed,,,,✓,abstr/konkr
risttee,✓,,,,abstr
ristvõlv,✓,,,,kehaosa
rividrill,,,,✓,tegevus
riviharjutus,,,,✓,tegevus
rivikord,,,✓,,tegevus
riviteenistus,,,✓,,tegevus
riviõppus,,,,✓,tegevus
rogain,,,,✓,vald
rohekus,,,✓,,omadus_füüs_värv
roheline koridor,✓,,✓,,
rohevahetus,,,,✓,tegevus
roid,,,✓,,omadus_füüs
roidumus,,,✓,,nähtus_psühh
roie,✓,,,,kehaosa
roim,,,,✓,tegevus_tegu
romanss,,,,✓,ese_kunst
romantika,,,✓,,nähtus_psühh
Rombergi test,,,,✓,tegevus
romuralli,,,,✓,tegevus
roobas,✓,,,,esitus_kujutis
rool,,,✓,,ese_instru
roov,✓,,,,ese_instru
roovialune,✓,,,,omadus_koht
Roquefort,✓,,,,toit
rostra,✓,,,,ese_instru
rostvärk,✓,,,,ese_instru
rotatsism,,,✓,,nähtus_füüs
rotaviirus,,,✓,,objekt_loodus
rotund,✓,,,,ese_riie
rukkikuu,,✓,,,esitus
rullisõit,,,,✓,tegevus
rustika,✓,,,,abstr/konkr
rusutis,,,✓,,nähtus_psühh
rutt,,,✓,,konkr_omadus
rõivastusruum,✓,,,,osa
rõõmutus,,,✓,,omadus_psühh
rändtsirkus,✓,,,,in_elukutse
räni,,,✓,,materjal/aine
rännak,,,,✓,tegevus
rännakupuhkus,,✓,✓,,
räsasjalad,,,✓,,kehaosa
räsasjalgne,,,✓,,omadus
rätsepaiste,,,✓,,abstr_asend/suund
rätsepiste,,,✓,,abstr_asend/suund
räästaalune,✓,,,,omadus_füüs
röövkäik,,,,✓,tegevus
röövretk,,,,✓,tegevus
röövvallutus,,,,✓,tegevus
rübi,✓,,,,ese_instru
rügement,✓,,,,konkr
rühmareis,,,,✓,tegevus
rüngas,✓,,,,objekt_loodus
rünk,✓,,,,objekt_loodus
rüpp,✓,,,,kehaosa
rüselus,,,,✓,tegevus
rüsin,,,,✓,tegevus
rüüstekäik,,,,✓,tegevus
rüüsteretk,,,,✓,tegevus
saabumiskohv,,,,✓,toit_jook
saal,✓,,,,in_roll
saanisõit,,,,✓,tegevus
saaremets,✓,,,,taim
saarik,✓,,,,taim
saaste,,,✓,,VERB_tegevus
saatel,,,✓,,abstr
saatkond,✓,,,,inimene
saatus,,,✓,,abstr
sabajuurikas,,,✓,,kehaosa_loom
sabat,,✓,,✓,
sadul,✓,,,,ese_instru
saekaater,✓,,,,ese_instru
saetööstus,✓,,,,vald
sahtlipõhi,,,✓,,ese
Saint-Martin,✓,✓,,,
sakk,✓,,✓,,
saladus,,,✓,,abstr/konkr
salaliit,✓,,,,inimene
salaselts,✓,,,,inimene
salastatus,,,✓,,tegevus
salaühing,✓,,,,inimene
salu,✓,,,,taim
salukuusik,✓,,,,taim
salu-lehtmets,✓,,,,taim
salumets,✓,,,,taim
salumännik,✓,,,,taim
samasus,,,✓,,abstr
samasuvine,,✓,,,omadus
sammalduma,,,✓,,VERB_muutus
sanglepamets,✓,,,,taim
sanglepik,✓,,,,taim
sanktsioon,,,✓,,abstr/konkr
sara,✓,,,,ese_instru
sarapik,✓,,,,taim
sarapuumets,✓,,,,taim
sarikas,✓,,,,taim
sarimõrv,,,,✓,tegevus_tegu
sarkofaag,✓,,,,ese_anum
sasipusa,,,✓,,abstr
saun,✓,,,,tegevus
saunakamber,✓,,,,osa
saunaruum,✓,,,,osa
saunatagune,✓,,,,omadus_koht
savik,✓,,,,ese_instru
SE,✓,,,,esitus
seadistus,,,✓,,tegevus
seadusandja,✓,,,,in_roll
seaduseandja,✓,,,,in_roll
seaduspärasus,,,✓,,omadus_kval
sealilm,✓,,✓,,
seaveristamine,,,,✓,tegevus
sedapsi,,,✓,,ADV_viis
seedermännimets,✓,,,,taim
seedrimets,✓,,,,taim
seek,✓,,,,VERB_abstr
seenekülv,✓,,,,tegevus
seenelkäik,,,,✓,tegevus
seenelkäimine,,,,✓,tegevus
seenering,✓,,,,taim_seen
sees,,✓,,,ese_riie
segamets,✓,,,,taim
segatis,✓,,,,taim_liik
segiolek,,,✓,,nähtus_psühh
seik,,,,✓,abstr/konkr
seinatreening,,,,✓,tegevus
seisak,,,✓,,tegevus
seisund,,,✓,,abstr
seisus,,,✓,,inimene
seitel,✓,,,,esitus_kujutis
seitsmevõistlus,,,,✓,in_tegija
sekeldus,,,,✓,tegevus
sekretariaat,✓,,,,in_elukutse
selgusehetk,,,✓,,tegevus_tegu
selgushetk,,,✓,,tegevus_tegu
seljasirutus,,,✓,,tegevus_tegu
seltskond,,,✓,,inimene
selvekassa,✓,,,,ese_instru
semgal,✓,,,,in_rahvas
semukapitalism,,✓,,,abstr/konkr
sensatsioon,,,,✓,nähtus_psühh
sentimeeterlaine,✓,,,,nähtus_füüs
seong,,,✓,,inimene
separaatrahu,,,✓,,tegevus_kõnetegu
sept,,✓,,,esitus_arv
serveriruum,✓,,,,abstr/konkr
servik,✓,,,,taim
servis,✓,,,,kehaosa_loom
sesoon,,✓,,,omadus_aeg
sessioon,,✓,,✓,
sessioonõpe,,✓,,,tegevus
setsessioon,,,,✓,tegevus
shopping,,,,✓,tegevus
sibljak,✓,,,,taim
sidejaam,✓,,,,ese_instru
sidekoestumine,,,✓,,nähtus
sidesõlm,✓,,,,abstr/konkr
sidumispunkt,✓,,,,abstr/konkr
sihtpunkt,✓,,,,esitus_kujutis
siilakas,✓,,,,ese_riie
siksak,,,✓,,esitus_kujutis
silgukarp,✓,,,,ese_anum
sillaalune,✓,,,,omadus_füüs
sillutis,✓,,,,materjal/aine
silmad häbi täis,,,✓,,VERB_seisund
silmapete,,,✓,,nähtus
silotorn,✓,,,,abstr/konkr
sinimets,✓,,,,taim
sinnapoole,✓,,,,abstr
sipelgapesa,✓,,,,objekt_loodus
sisebassein,✓,,,,ese_instru
sisehaigus,,,✓,,vald
sisekeskkond,✓,,,,vald
sisekonflikt,,,✓,✓,
sisekriis,,,✓,✓,
siseolud,✓,,✓,,
sisesõda,,,,✓,tegevus
sisetüli,,,✓,,nähtus_psühh
sisevastuolu,,,✓,✓,
sisevooder,✓,,,,ese_riie
sisevägi,✓,,,,inimene
sissekukkumine,,,✓,✓,
sisselase,✓,,,,tegevus_tegu
sissenõudja,✓,,,,in_elukutse
sissesõit,✓,,,,tegevus
sissetungimine,,,,✓,tegevus_tegu
sisseuhtekiht,✓,,,,materjal/aine
sissisõda,,,✓,,tegevus
skaudilaager,,,,✓,tegevus
skautpataljon,✓,,,,in_roll
slipp,✓,,,,ese_instru
SO,✓,,,,esitus
soetõbine,,,✓,,in_omadus
sohk,,,✓,,tegevus
sokkel,✓,,,,ese_instru
solgiauk,✓,,,,abstr/konkr
sologaamia,,,,✓,nähtus
solontšakk,✓,,,,materjal/aine
soo,✓,,,,grupp
soojakadu,,,✓,,nähtus_füüs
soojamaareis,,,,✓,tegevus
soojatarbija,✓,,,,in_roll
soojus,,,✓,,nähtus_füüs
soojuskadu,,,✓,,nähtus_füüs
soolak,✓,,,,ese_instru
soolakamber,✓,,,,abstr/konkr
soolatüügas,,,✓,,objekt_loodus
soolokontsert,,,,✓,ese_kunst
soomets,✓,,,,taim
soop,✓,,,,materjal/aine
soot,✓,,,,ese_instru
sopis,✓,,✓,,
sopistis,✓,,✓,,
sordiin,,,✓,,ese_instru
sorptsioon,,,✓,,tegevus
sotnja,✓,,,,inimene
sotsieteet,✓,,,,inimene
spasm,,,✓,,nähtus_loodus
spektaakel,,,,✓,tegevus
spetsiifika,,,✓,,abstr/konkr_omadus
sponsorlus,,,✓,,tegevus
spontaanne tuntus,,,✓,,omadus_kval
spordialaliit,✓,,,,inimene
spordiliit,✓,,,,in_roll
spordiorganisatsioon,✓,,,,inimene
staadion,✓,,,,esitus_mõõt
staap,✓,,,,in_roll
staapel,✓,,,,materjal/aine
staatus,,,✓,,abstr
stagna,,✓,✓,,
stardijärjekord,✓,,✓,,
stardipauk,,,,✓,nähtus_füüs
stardiplatvorm,✓,,,,abstr/konkr
Stenbocki maja,✓,,,,in_roll
stepp,✓,,,,tegevus
stiilikas,,,,✓,omadus_kval
stividor,✓,,,,in_elukutse
stohhastiline,,,✓,,omadus
streigilaine,,,,✓,nähtus
stukkdekoor,✓,,,,ese_kunst
stuudium,,✓,,,tegevus
suaree,,,,✓,toit
subjektsus,✓,,,,in_roll
sudoku,,,✓,,tegevus_mäng
suguliige,✓,,,,kehaosa
suguti,✓,,,,kehaosa
suguvõimetus,,,✓,,nähtus_loodus
suhtekoolitus,,,,✓,tegevus
suhtes,,,✓,,abstr_asend/suund
suitsukäik,✓,,,,ese_instru
suitsulõõr,✓,,,,ese_instru
sukasäär,✓,,,,ese_riie
sulgus,✓,,✓,,
sumin,,,✓,,nähtus_füüs
sundasumine,,,✓,,tegevus
sundhirm,,,✓,,nähtus_psühh
sundpuhkus,,✓,,✓,
supersümmeetria,,,✓,,omadus_füüs
supp,,,✓,,toit
surimuri,,,✓,,omadus_kval
surmalõks,✓,,,,ese_instru
surmauni,,,✓,,nähtus_loodus
surmaöö,,✓,✓,,
surnud punkt,✓,,✓,,
surra-murra,,,✓,,omadus_kval
surramurra,,,✓,,omadus_kval
suud-silmad häbi täis,,,✓,,VERB_seisund
suue,✓,,,,ese
suurfavoriit,✓,,,,in_roll
suurhall,✓,,,,loom
suurloož,✓,,,,in_roll
suurpüük,,,,✓,tegevus
suurriik,✓,,,,inimene
suurrünnak,,,,✓,tegevus_tegu
suursoosik,✓,,,,in_roll
suur sport,,,,✓,tegevus
suurushullus,,,✓,,nähtus_psühh
suurushullustus,,,✓,,nähtus_psühh
suusarada,✓,,,,tegevus
suusareis,,,,✓,tegevus
suvehari,,✓,,,osa
suvepesa,✓,,,,objekt_loodus
suveräänsus,,,✓,,omadus_psühh
suvesüda,,✓,,,osa
SW,✓,,,,esitus_tähis
sõda,,,,✓,tegevus
sõdurileib,,,✓,,toit
sõelmäng,,,,✓,tegevus_tegu
sõidutund,,,,✓,esitus_mõõt
sõjaajalugu,,✓,,,vald
sõjakohus,✓,,,,tegevus
sõjaliin,✓,,,,tegevus
sõjamasin,,,✓,,ese_instru
sõjapagu,,,✓,,tegevus
sõjarinne,✓,,,,tegevus
sõjatee,✓,,,,tegevus_tegu
sõjateenistus,,,✓,,tegevus
sõjatribunal,✓,,,,tegevus
sõjatuli,,,,✓,tegevus
sõjavanker,,,✓,,ese_instru
sõjaväekomisjon,✓,,,,in_roll
sõjaväeorkester,✓,,,,in_elukutse
sõjaväeosa,✓,,,,in_roll
sõjaväepost,✓,,,,in_roll
sõjaväeteenistus,,,✓,,tegevus
sõjavägi,✓,,,,inimene
sõjaväli,✓,,,,tegevus
sõlmpunkt,✓,,,,abstr
sõltuvus,,,✓,,abstr
sõpruskohtumine,,,,✓,tegevus_tegu
sõprusmäng,,,,✓,tegevus_tegu
sõprusvisiit,,,,✓,tegevus_tegu
sõrendus,✓,,,,abstr/konkr
sõu,,,,✓,ese_riie
säng,✓,,,,ese_instru
sääsekubel,,,✓,,objekt
sääsekupp,,,✓,,objekt
sääsepunn,,,✓,,objekt
säästukas,✓,,,,ese_instru
söögiaeg,,✓,,✓,
söögikord,,✓,,✓,
söögimaja,✓,,,,ese
söömaaeg,,,,✓,toit
söömakord,,✓,,✓,
sööstlend,,,✓,,tegevus_tegu
sööti,,,✓,,ADV_seisund
söötis,,,✓,,ADV_seisund
süda läheb pahaks,,,✓,,nähtus_psühh
südasuvi,,✓,,,osa
sügavik,✓,,✓,,
sügisjaht,,,,✓,tegevus
sügismaastik,✓,,,,ese_kunst
sügispime,,,✓,,omadus_füüs
sülelus,,,✓,,tegevus_tegu
süles,,,✓,,ADV_koht
sülest,,,✓,,ADV_koht
sülle,,,✓,,ADV_koht
sümbioos,,,✓,,nähtus_loodus
sümbioosne,,,✓,,omadus_füüs
sümbiootiline,,,✓,,omadus_füüs
sündmus,,,,✓,abstr
sünkro,,,✓,,ese_instru
sünkroon,,,✓,,omadus_aeg
sünna,,✓,,✓,
sünnipäev,,✓,,✓,
sünnitamine,,✓,,✓,
sünnitus,,✓,,✓,
sünostoos,✓,,✓,,
sürjamets,✓,,,,taim
süvaklass,✓,,,,in_roll
süvauni,,,✓,,abstr/konkr
süvendus,✓,,,,VERB_muutus
süvis,✓,,,,omadus_füüs
süüdost,✓,,,,esitus
süüdvest,✓,,,,esitus_tähis
süüme,,,✓,,omadus_psühh
süümepiin,,,✓,,nähtus_psühh
süütus,,,✓,,materjal/aine
šeflus,,,✓,,tegevus
šoping,,,,✓,tegevus
šoppamine,,,,✓,tegevus
šott,✓,,,,toit_jook
taasiseseisvumispäev,,✓,,✓,
taasiseseisvuspäev,,✓,,✓,
taastulek,,,,✓,tegevus_muutus
taba,,,✓,,ese_instru
tabeldi,✓,,,,ese_instru
tabeldusklahv,✓,,,,ese_instru
tabulaator,✓,,,,ese_instru
taevapiir,✓,,,,esitus_kujutis
taevarand,✓,,,,esitus_kujutis
taevaserv,✓,,,,esitus_kujutis
taevast kukkunud,,,✓,,omadus_kval
taevaveer,✓,,,,esitus_kujutis
taevaäär,✓,,,,esitus_kujutis
tagakamber,✓,,,,kehaosa
tagalateenistus,✓,,,,tegevus
tagamets,✓,,,,taim
tagaplaan,✓,,,,abstr
tagasikutsumine,,,,✓,tegevus_tegu
tagasitee,✓,,,,tegevus
tagatipp,✓,,,,abstr/konkr
tagatiseandja,✓,,,,inimene
tagatisparandus,✓,,,,tegevus
tagatrepp,✓,,,,tegevus
tagatuba,✓,,,,inimene
tagauks,✓,,,,esitus_info
tagavaratee,✓,,,,abstr
tagupool,✓,,,,kehaosa
tahtepingutus,,,✓,,tegevus
taigamets,✓,,,,taim
taimekahjustaja,,,✓,,loom
taimelava,✓,,,,abstr/konkr_omadus
Taizé,✓,,,,abstr/konkr
take-away,✓,,,,toit
taksojärjekord,,✓,,,inimene
taksopark,✓,,,,ese_instru
talasild,✓,,,,ese_instru
tali,,✓,,,ese_instru
talikross,,,,✓,tegevus
talilaager,,,,✓,tegevus
tallermaa,✓,,,,abstr
talu,✓,,,,esitus
talumajapidamine,✓,,,,tegevus
talumets,✓,,,,taim
talurahvaliikumine,,,,✓,tegevus
talvekuu,,✓,,,esitus
talvemaastik,✓,,,,ese_kunst
talvepuhkus,,✓,,,tegevus
tammemets,✓,,,,taim
tammik,✓,,,,taim
tander,✓,,,,vald
tanner,✓,,,,vald
tantsing,,,,✓,tegevus
tants ja trall,,,,✓,tegevus
tantsukool,✓,,,,abstr
tantsutreening,,,,✓,tegevus
tantsutrenn,,,,✓,tegevus
tapatall,✓,,,,loom
tappliide,✓,,,,ese_instru
tappseotis,✓,,,,ese_instru
tarnija,✓,,,,in_elukutse
tarre,,,✓,,materjal/aine
tarvitaja,✓,,,,in_roll
tasakaalustus,,,✓,,tegevus_muutus
tasakaalutunne,,,✓,,nähtus_psühh
tasemel,,,✓,,omadus_kval
tatitaud,,,✓,,kehaosa
tavalisus,,,✓,,omadus_kval
tavapära,,,✓,,omadus_kval
tavapärasus,,,✓,,omadus_kval
tavatarbija,✓,,,,in_roll
teadusnõukogu,✓,,,,inimene
teadvusetu,,,✓,,omadus_psühh
teekünnis,✓,,,,ese_instru
teelahe,✓,,,,abstr
teemantpulm,,✓,,✓,
teemanädal,,✓,,✓,
teenistuskoht,✓,,,,abstr
teenusetõkestusrünne,,,,✓,tegevus
teenustõkestusrünnak,,,,✓,tegevus
teeots,✓,,,,abstr_asend/suund
teerada,✓,,,,abstr
teereis,,,,✓,tegevus
teeroobas,✓,,,,esitus_kujutis
teerööbas,✓,,,,esitus_kujutis
teesulg,✓,,✓,,
teetruup,✓,,,,ese_instru
teetähis,,,,✓,ese_semio
teeäärne,✓,,,,omadus_koht
tegelusmaja,✓,,,,ese_instru
tegevteenistus,,,✓,,tegevus
tegevusväli,✓,,,,vald
tehnostress,,,✓,,nähtus_psühh
teisipäev,,✓,,,esitus
TEJ,✓,,,,esitus
tej,✓,,,,esitus
tekialune,✓,,,,omadus_koht
tekk,✓,,,,ese_riie
telefonijaam,✓,,,,ese_instru
telefonikapp,✓,,,,ese_instru
telefonikeskjaam,✓,,,,ese_instru
telefonimüüja,✓,,,,in_elukutse
telegraafijaam,✓,,,,ese_instru
televisioonijaam,✓,,,,ese_instru
televisioonisaatejaam,✓,,,,ese_instru
telkkatus,✓,,,,ese_instru
telkkiiver,✓,,,,osa
telklaager,✓,,,✓,
tellija,✓,,,,in_tegija
telliseahi,✓,,,,ese_instru
templiteenistus,,,✓,✓,
temposõit,,,,✓,tegevus
tenuur,,,✓,,abstr/konkr
teopäev,,✓,,,abstr/konkr
teostus,,,✓,,tegevus
teralisus,,,✓,,omadus_füüs
teraskonstruktsioon,✓,,,,ese_instru
terastarind,✓,,,,ese_instru
terasus,,,✓,,omadus_psühh
teraviljakultuur,✓,,,,taim_liik
teravkaar,✓,,,,esitus_kujutis
teravmeel,,,✓,,omadus_psühh
teritus,,,✓,,tegevus
terminal,✓,,,,ese_instru
termokamber,✓,,,,ese_anum
termokapp,✓,,,,ese_anum
territoriaalne puutumatus,,,✓,,abstr
terrorirünnak,,,,✓,tegevus_tegu
terrorivõrgustik,✓,,,,inimene
terrorivõrk,✓,,,,inimene
tertsiaar,,✓,,,in_roll
terviseklubi,✓,,,,in_omadus
terviserike,,,✓,,nähtus_loodus
terviseärevus,,,✓,,nähtus_psühh
tervituskohv,,,,✓,toit_jook
tesaurus,✓,,,,ese_semio
tihend,✓,,,,ese_instru
tikutööstus,✓,,,,vald
tillikas,,,✓,,tegevus
ting,,,,✓,organism
tinutus,✓,,,,tegevus
tippklass,,,✓,,omadus_kval
tiriseis,,,✓,,tegevus
titeootele,,,✓,,ADV_seisund
titepuhkus,,✓,✓,,
tn,✓,,,,in_rahvas_keel
toenglamang,,,✓,,abstr_asend/suund
toestuskaar,✓,,,,ese_instru
toetajaliige,✓,,,,in_roll
toetuspind,✓,,,,inimene
toetuspunkt,✓,,,,abstr
toiduahel,,,✓,,abstr
toiduala,✓,,,,vald
toidukord,,✓,,✓,
toidukäitleja,✓,,,,in_elukutse
toiduohutus,,,✓,,vald
toiduvõrgustik,✓,,,,abstr
toimetulek,,,✓,,abstr
toimetulemine,,,✓,,abstr
toitepind,✓,,,,abstr
toitumisahel,,,✓,,abstr
Tokaj,✓,,,,toit_jook
toom,✓,,,,taim
Toompea,✓,,,,in_elukutse
toonus,,,✓,,nähtus_psühh
tooraineallikas,✓,,,,materjal/aine
tootetutvustus,,,,✓,esitus_info
tootjaorganisatsioon,✓,,,,inimene
tootmisala,✓,,,,vald
tootmistsükkel,,✓,,,abstr/konkr
topeltmõrv,,,,✓,tegevus_tegu
topless,,,✓,,ADV_viis
torkav,,,✓,,omadus_kval
tormikeeris,,,✓,,nähtus_loodus
tormivari,✓,,✓,,
torm ja tung,,,✓,,nähtus_psühh
torn,✓,,,,ese_instru
torsioon,,,✓,,nähtus
toruliide,✓,,,,ese_instru
traagika,,,✓,,nähtus_psühh
traali-vaali,,,,✓,tegevus
traalivaali,,,,✓,tegevus
traditsioon,,,,✓,abstr/konkr
tragikomöödia,,,,✓,ese_kunst
tragism,,,✓,,nähtus_psühh
trakt,✓,,,,organism
trall,,,,✓,tegevus
trammiliin,✓,,,,ese_instru
trammipark,✓,,,,ese_instru
trammitee,✓,,,,ese_instru
trampliin,✓,,,,ese_instru
treening,,,,✓,tegevus
treeninglaager,✓,,,✓,
treeningtund,,✓,,✓,
treeningulaager,✓,,,✓,
treeningutund,,✓,,✓,
trehter,✓,,,,ese_instru
trenn,,,,✓,tegevus
trepialune,✓,,,,omadus
trepikoda,✓,,,,ese_instru
trepipealne,✓,,,,omadus_koht
trial,,,,✓,tegevus
tribunal,✓,,,,inimene
triibuline nimekiri,,,✓,,ese_semio
trill ja trall,,,,✓,tegevus
trill-trall,,,,✓,tegevus
triloog,,,,✓,tegevus
troopikamets,✓,,,,taim
trumm,✓,,,,ese_instru
trust,✓,,,,nähtus_psühh
truup,✓,,,,ese_instru
trükipilt,,,✓,,esitus_kujutis
trükkiminek,,,,✓,tegevus
trümoo,✓,,,,ese
tsemendi peal,,,✓,,ADV_seisund
tsemendi peale,,,✓,,ADV_seisund
tsensus,,,,✓,abstr/konkr
tsenter,✓,,,,in_elukutse
tsentralisatsioon,,,✓,,tegevus
tseremoonia,,,,✓,tegevus
tsirk,✓,,,,loom_lind
tsirkusetelk,✓,,,,ese_instru
tsiviilala,✓,,,,vald
tsiviilhageja,✓,,,,in_roll
tsükliõpe,,✓,,,tegevus
tšarter,,,,✓,ese_semio
tšarterreis,,,,✓,tegevus
tšellokontsert,,,,✓,ese_kunst
tšill,,,✓,,omadus_kval
tudengipõlv,,✓,✓,,
tugikaar,✓,,,,ese_riie
tugikonstruktsioon,✓,,,,ese_instru
tugiliit,✓,,,,inimene
tugipunkt,✓,,,,abstr
tugitarind,✓,,,,ese_instru
tuhandeaastane,,✓,,,omadus_aeg
tuige,,,✓,,tegevus
tuimastus,,,✓,,tegevus_tegu
tuimestus,,,✓,,tegevus_tegu
tuimus,,,✓,,nähtus_psühh
tulbandik,✓,,,,ese
tulejoon,✓,,,,abstr_asend/suund
tulek,,,,✓,tegevus
tulekolle,✓,,,,ese_instru
tulemüür,✓,,,,ese_instru
tulepesa,✓,,,,ese_instru
tuleproov,,,,✓,tegevus_tegu
tuleristsed,,,,✓,tegevus_tegu
tulestik,,,,✓,nähtus_füüs
tuletõrje,✓,,,,vald
tulevikulootus,,,✓,,in_omadus
tulipunkt,✓,,,,abstr/konkr
tulprinnatis,✓,,,,ese
tulukooslus,,,✓,,nähtus_loodus
tulundusühistu,✓,,,,esitus
tumendus,✓,,,,tegevus
tunaeilne,,✓,,,omadus_aeg
tundeliigutus,,,✓,,nähtus_psühh
tunnelnägemine,,,✓,,nähtus_psühh
