"word","semantic_types"
algusaeg,AEG
algushetk,AEG
alguskuu,AEG
alguskuupäev,AEG
alguskümnend,AEG
algusminut,AEG
alguspäev,AEG
Al-Ḩijāz,KOHT
alistumus,SEISUND
Aljava,KOHT
alkaloos,SEISUND
alkoholideliirium,SEISUND
alkoholijoove,SEISUND
alkoholimürgistus,SEISUND
alkoholimürgitus,SEISUND
alkoholipood,KOHT
alkoholipsühhoos,SEISUND
alkoholism,SEISUND
alkoholisõltuvus,SEISUND
alkoholiuim,SEISUND
alkoholpsühhoos,SEISUND
alkoov,KOHT
alkopood,KOHT
Al-Kuwayt,KOHT
Allahabad,KOHT
Allaste,KOHT
allasum,KOHT
allasutus,KOHT
allavaje,SEISUND
allee,KOHT
Allegheny,KOHT
allettevõte,KOHT
allettevõtja,KOHT
allianss,KOHT
Allika,KOHT
allikajärv,KOHT
allikakoht,KOHT
Allikalahe,KOHT
allikaoja,KOHT
allikasoo,KOHT
Allikjärve,KOHT
Alliklepa,KOHT
Allikmaa,KOHT
Allikotsa,KOHT
Alliku,KOHT
Allikukivi,KOHT
Allikõnnu,KOHT
allism,SEISUND
allkorrus,KOHT
allkülg,KOHT
all-linn,KOHT
allmaaraudtee,KOHT
allnurk,KOHT
allodüünia,SEISUND
allosakond,KOHT
allveeris,KOHT
alläär,KOHT
allüksus,KOHT
Alma-Ata,KOHT
alma mater,KOHT
Almatõ,KOHT
Almetjevsk,KOHT
Al-Mukhā,KOHT
Alofi,KOHT
Alpi,KOHT
alpiaed,KOHT
Alpid,KOHT
alpiinum,KOHT
alpimaja,KOHT
alpinaarium,KOHT
ALS,SEISUND
Alsace,KOHT
Alzheimer,SEISUND
Alzheimeri tõbi,SEISUND
Alžeeria,KOHT
Alžiir,KOHT
altaan,KOHT
Altai,KOHT
Altai krai,KOHT
altariruum,KOHT
alternatiivkool,KOHT
althoie,SEISUND
altidus,SEISUND
Altja,KOHT
Altküla,KOHT
Altmäe,KOHT
Altnurga,KOHT
Alto Adige,KOHT
Altun Shan,KOHT
Alu,KOHT
Alūksne,KOHT
Alu-Metsküla,KOHT
aluminoos,SEISUND
Alupere,KOHT
Alupka,KOHT
aluspind,KOHT
Aluste,KOHT
Alustre,KOHT
Alušta,KOHT
Alutaguse,KOHT
Aluvere,KOHT
alvar,KOHT
Alytus,KOHT
Ama,KOHT
Amaravati,KOHT
Amasoonia,KOHT
Amazonas,KOHT
amatöörklubi,KOHT
amatöörteater,KOHT
Ambla,KOHT
amblüoopia,SEISUND
ambrasuur,KOHT
ambulatoorium,KOHT
Ameerika,KOHT
Ameerika Samoa,KOHT
Ameerika Ühendriigid,KOHT
amenorröa,SEISUND
amentsia,SEISUND
amentsus,SEISUND
ametiaasta,AEG
ametiaeg,AEG
ametiasutus,KOHT
ametijuubel,sündmus
ametikool,KOHT
ametikorter,KOHT
ametipuhkus,AEG
ametiruum,KOHT
ametitalitus,sündmus
amfiteater,KOHT
Amhara,KOHT
Amiens,KOHT
Amman,KOHT
Amme jõgi,KOHT
Ammuta,KOHT
Amori nool,SEISUND
Amritsar,KOHT
Amsterdam,KOHT
Amudarja,KOHT
Amula,KOHT
Amuur,KOHT
Amuurimaa,KOHT
Amuuri oblast,KOHT
Amuuri-äärne Komsomolsk,KOHT
amöbiaas,SEISUND
amööbdüsenteeria,SEISUND
amüloidoos,SEISUND
amüotroofiline lateraalskleroos,SEISUND
amüotroofne lateraalskleroos,SEISUND
anaalfissuur,SEISUND
anabioos,SEISUND
Anadõr,KOHT
anafülaksia,SEISUND
anafülaktiline šokk,SEISUND
analgeesia,SEISUND
Anapa,KOHT
anateem,SEISUND
Anatoolia,KOHT
anatoomikum,KOHT
anatsiidsus,SEISUND
Andaluusia,KOHT
Andamanid,KOHT
Andamanid ja Nicobarid,KOHT
Andamani saared,KOHT
Andhra Pradesh,KOHT
Andi,KOHT
Andid,KOHT
Andijon,KOHT
Andineeme,KOHT
Andja,KOHT
andmeväli,KOHT
Andorra,KOHT
Andorra la Vella,KOHT
Andre,KOHT
andresepäev,AEG
Andrikova,KOHT
andropaus,AEG
