"word","code"
adverbiaalne,omadus
adverbialisatsioon,esitus_keel
adverbiline,omadus
adverbistuma,VERB_muutus
adversatiivne,omadus_kval
advokaadipraksis,tegevus
advokaadipraktika,tegevus
advokaat,in_elukutse
advokatuur,abstr
adõgee,in_rahvas
adõgeelanna,in_rahvas
ae,esitus_keel_suhtlus
aedaster,taim
aeddaalia,taim
aedfloks,taim
aedgladiool,taim
aedhernes,taim
aed-hiirehernes,taim
aedhortensia,taim
aediiris,taim
aedjorjen,taim
aed-jänesekapsas,taim
aedkannike,taim
aed-karusmari,taim
aedkohhia,taim
aedkoriander,taim
aedkress,taim
aed-kuremõõk,taim
aed-leeklill,taim
aed-lepalind,loom_lind
aedlevkoi,taim
aedmalts,taim
aedmeliss,taim
aedmonarda,taim
aed-moorputk,taim
aedmurakas,taim
aed-mustjuur,taim
aed-mädarõigas,taim
aednelk,taim
aednik,in_elukutse
aedniksipelgas,loom_putukas
aednikunuga,ese_instru
aednikupoiss,in_elukutse
aedpetersell,taim
aedporgand,taim
aedportulak,taim
aed-puhmikmalts,taim
aed-põõsalind,loom_lind
aedruut,taim
aedrõigas,taim
aed-rõngaslill,taim
aedsalat,taim
aedsalvei,taim
aedseller,taim
aedspinat,taim
aedtill,taim
aed-tokkroos,taim
aedunilane,loom
aed-uniohakas,taim
aedvaak,taim
aedviljapuljong,toit
aedviljasalat,toit
aedvorm,taim_liik
aed-võhumõõk,taim
aed-õunapuu,taim
aegajaline,omadus_aeg
aeg-ajalt,ADV_aeg
aega maha võtma,VERB_seisund
aegamisi,ADV_aeg
aeg annab arutust,esitus_keel_suhtlus
aega parajaks tegema,VERB_seisund
aega surnuks lööma,VERB_seisund
aega teenima,VERB_seisund
aega viitev,omadus
aegaviitev,omadus
aega viitma,VERB_tegevus
aega viitmata,ADV_aeg
aegaviitmatult,ADV_aeg
aegkriitiline,omadus_aeg
aeglasekasvuline,omadus_aeg
aeglema,VERB_tegevus
aeglus,omadus_füüs
aeglussõit,tegevus
aeglustama,tegevus
aeglusti,ese_instru
aeglustuma,VERB_muutus
aeglustus,tegevus
aegluup,abstr/konkr
aegne,omadus_aeg
aegnurk,esitus_mõõt
aegrelee,ese_instru
aegrida,abstr
aegruumiline,omadus_kval
aegsamini,ADV_aste
aegselt,ADV_aeg
aegsütik,ese_instru
aegu,ADV_aeg
aeguma,VERB_muutus
aegumatu,omadus
aegumatus,abstr/konkr
aegunu,abstr/konkr
aegupidi,ADV_aeg
aegvõte,abstr/konkr
AE-koostöö,abstr/konkr
aelema,VERB_tegevus
aer,ese_instru
aeraator,ese_instru
aeratsioon,nähtus_füüs
aereerima,VERB_tegevus
aerjalalised,loom_liik
aerobioos,nähtus_loodus
aerobuss,ese_instru
aerodünaamika,vald
aerodünaamiline,omadus_füüs
aerodünaamiline toru,ese_instru
aerofon,ese_instru
aerofoto,ese_semio
aerofotograafia,tegevus
aerofotomõõdistamine,tegevus
aerograaf,ese_instru
aeroionisaator,ese_instru
aeroionisatsioon,nähtus_füüs
aeroioon,nähtus_füüs
aerolift,ese_instru
aeroloogia,vald
aeromehaanika,vald
aeronaut,in_tegija
aeronautika,vald
aeronavigatsioon,vald
aeroob,organism
aeroobik,in_tegija
aeroobikaharrastaja,in_tegija
aeroobne,omadus_kval
aeroobne lävi,omadus_füüs
aeroobne treening,tegevus
aeroplaan,ese_instru
aerosaan,ese_instru
aerosoolima,VERB_tegevus
aerosoolitama,VERB_tegevus
aerosoolne,omadus_füüs
aerostaat,ese_instru
aerostaatika,vald
aerotank,ese_instru
aeroteraapia,vald
aerotropism,nähtus
aerulaba,ese_instru
aerulaev,ese_instru
aerulauasõit,vald
aerulaud,ese_instru
aerulaudur,in_tegija
aerupaat,ese_instru
aerupink,ese_instru
aerusulane,in_elukutse
aerusurf,vald
aerutull,ese_instru
aest,in_rahvas
aetama,VERB_suhtlus
aetis,materjal/aine
afaasik,inimene
afaatik,inimene
afaliin,loom
afantaasia,omadus_psühh
afantaasik,in_omadus
afekt,nähtus_psühh
afekteerima,VERB_seisund
afekteeritult,ADV_viis
afektiivne,omadus_psühh
aferees,abstr/konkr
afereesidoonor,in_omadus
aferentne,omadus
aferist,in_omadus
afgaan,in_rahvas
afgaani,ese_raha
Afgaani hurt,loom
afgaani keel,in_rahvas_keel
afgaanitar,in_rahvas
afgaanlanna,in_rahvas
Afganistani hurt,loom
afganistanlane,in_rahvas
afiinne,omadus_füüs
afiinsus,omadus
afiks,esitus_keel
afiksaaladverb,esitus_keel
afineerima,VERB_tegevus
afišeerima,VERB_tegevus
afišš,ese_semio
aforism,esitus
aforistlik,omadus
afrikaan,in_rahvas
afrikaani keel,in_rahvas_keel
afrikaat,esitus_keel
afrikander,in_rahvas
afrikanistika,vald
afroaasia keelkond,in_rahvas_keel
afroameerika,omadus
afroameeriklane,in_rahvas
afrodisiaakum,materjal/aine
afrofoobia,nähtus_psühh
afrosoeng,ese_kunst
after-shave,materjal/aine
Ag,materjal/aine
aga,abstr
agaa,esitus_tiitel
agaam,loom
agaav,taim
agaavisiirup,toit
aganalasn,ese_instru
aganaleib,toit
aganane,omadus
agar-agar,materjal/aine
agaralt,ADV_viis
agarasti,ADV_viis
agarik,taim
agatama,VERB_suhtlus
agens,abstr
agentsus,omadus_kval
agiilne,omadus_kval
agiilne arendus,vald
agitaator,in_roll
agitato,ADV_viis
agitatsioon,tegevus
agitatsioonikirjandus,ese_semio
agitatsiooniline,omadus_psühh
agitatsioonitöö,tegevus
agiteerima,VERB_suhtlus
aglomeerima,VERB_muutus
aglomeeruma,VERB_muutus
aglutinatsioon,nähtus
aglutineeriv keel,esitus_keel
aglutineeruma,VERB_muutus
aglutiniin,materjal/aine
agnaadid,loom_liik
