Column1,collection,morph,experiment,model,source,split,LAS
488,est_ud,gm,3.2,udpipe,train,4,0.9017
489,est_ud,gm,3.2,udpipe,test,4,0.8376
490,est_ud,gm,3.2,udpipe,train,5,0.9049
491,est_ud,gm,3.2,udpipe,test,5,0.8417
492,est_ud,gm,3.2,udpipe,train,6,0.8976
493,est_ud,gm,3.2,udpipe,test,6,0.8392
494,est_ud,gm,3.2,udpipe,train,7,0.9042
495,est_ud,gm,3.2,udpipe,test,7,0.8403
496,est_ud,gm,3.2,udpipe,train,8,0.9055
497,est_ud,gm,3.2,udpipe,test,8,0.8492
498,est_ud,gm,3.2,udpipe,train,9,0.8953
499,est_ud,gm,3.2,udpipe,test,9,0.8355
500,edt,gm,3.2,malt,train,0,0.93
501,edt,gm,3.2,malt,test,0,0.841
502,edt,gm,3.2,malt,train,1,0.929
503,edt,gm,3.2,malt,test,1,0.858
504,edt,gm,3.2,malt,train,2,0.93
505,edt,gm,3.2,malt,test,2,0.848
506,edt,gm,3.2,malt,train,3,0.93
507,edt,gm,3.2,malt,test,3,0.849
508,edt,gm,3.2,malt,train,4,0.93
509,edt,gm,3.2,malt,test,4,0.86
510,edt,gm,3.2,malt,train,5,0.93
511,edt,gm,3.2,malt,test,5,0.857
512,edt,gm,3.2,malt,train,6,0.93
513,edt,gm,3.2,malt,test,6,0.856
514,edt,gm,3.2,malt,train,7,0.93
515,edt,gm,3.2,malt,test,7,0.847
516,edt,gm,3.2,malt,train,8,0.929
517,edt,gm,3.2,malt,test,8,0.853
518,edt,gm,3.2,malt,train,9,0.93
519,edt,gm,3.2,malt,test,9,0.845
520,est_ud,gm,3.2,malt,train,0,0.938
521,est_ud,gm,3.2,malt,test,0,0.807
522,est_ud,gm,3.2,malt,train,1,0.937
523,est_ud,gm,3.2,malt,test,1,0.816
524,est_ud,gm,3.2,malt,train,2,0.937
525,est_ud,gm,3.2,malt,test,2,0.808
526,est_ud,gm,3.2,malt,train,3,0.938
527,est_ud,gm,3.2,malt,test,3,0.809
528,est_ud,gm,3.2,malt,train,4,0.938
529,est_ud,gm,3.2,malt,test,4,0.818
530,est_ud,gm,3.2,malt,train,5,0.937
531,est_ud,gm,3.2,malt,test,5,0.812
532,est_ud,gm,3.2,malt,train,6,0.938
533,est_ud,gm,3.2,malt,test,6,0.817
534,est_ud,gm,3.2,malt,train,7,0.937
535,est_ud,gm,3.2,malt,test,7,0.817
536,est_ud,gm,3.2,malt,train,8,0.938
537,est_ud,gm,3.2,malt,test,8,0.816
538,est_ud,gm,3.2,malt,train,9,0.937
539,est_ud,gm,3.2,malt,test,9,0.815
540,edt,am,3.2,udpipe,train,0,0.906
541,edt,am,3.2,udpipe,test,0,0.8388
542,edt,am,3.2,udpipe,train,1,0.908
543,edt,am,3.2,udpipe,test,1,0.8341
544,edt,am,3.2,udpipe,train,2,0.9061
545,edt,am,3.2,udpipe,test,2,0.8437
546,edt,am,3.2,udpipe,train,3,0.9043
547,edt,am,3.2,udpipe,test,3,0.8415
548,edt,am,3.2,udpipe,train,4,0.8977
549,edt,am,3.2,udpipe,test,4,0.8404
550,edt,am,3.2,udpipe,train,5,0.9069
551,edt,am,3.2,udpipe,test,5,0.8367
552,edt,am,3.2,udpipe,train,6,0.9067
553,edt,am,3.2,udpipe,test,6,0.8418
554,edt,am,3.2,udpipe,train,7,0.9069
555,edt,am,3.2,udpipe,test,7,0.8495
556,edt,am,3.2,udpipe,train,8,0.9049
557,edt,am,3.2,udpipe,test,8,0.8392
558,edt,am,3.2,udpipe,train,9,0.9044
559,edt,am,3.2,udpipe,test,9,0.8463
560,est_ud,am,3.2,udpipe,train,0,0.8872
561,est_ud,am,3.2,udpipe,test,0,0.8233
562,est_ud,am,3.2,udpipe,train,1,0.8867
563,est_ud,am,3.2,udpipe,test,1,0.8149
