pat_id,verb_word,verb_compound,phrase_case,adp,inf_verb,verb_occurrence_count,absolute_support,relative_support
1189,mõlgutama,,part,,,463,398,85.96112311015118
326,huvituma,,el,,,2139,1835,85.7877512856475
1294,ohustama,,part,,,4569,3917,85.7299190194791
487,aitama,kaasa,all,,,8226,7052,85.72817894480914
895,saama,kõrini,el,,,54,46,85.18518518518519
2481,puistama,üle,kom,,,54,46,85.18518518518519
442,jumaldama,,part,,,647,551,85.16228748068006
533,kajastama,,part,,,4118,3506,85.13841670713938
1585,reguleerima,,part,,,5350,4550,85.04672897196261
1696,seonduma,,kom,,,2397,2038,85.02294534835211
1600,vedama,ringi,part,,,60,51,85
1431,piirduma,,kom,,,8432,7164,84.96204933586338
692,kohtama,,part,,,7974,6774,84.95109104589918
583,keelduma,,el,,,19666,16690,84.86728363673345
715,puutuma,kokku,kom,,,5008,4248,84.82428115015975
2367,võõrduma,,el,,,242,205,84.71074380165288
320,hullutama,,part,,,359,304,84.67966573816156
1873,kiruma,taga,part,,,13,11,84.61538461538461
1998,tuginema,,all,,,3757,3178,84.58876763375032
2050,tähistama,,part,,,11317,9541,84.3067950870372
105,austama,,part,,,3160,2657,84.08227848101266
934,külgnema,,kom,,,143,120,83.91608391608392
1345,vahtima,otsa,all,,,124,104,83.87096774193549
312,hoolima,,el,,,4403,3692,83.85191914603679
30,kirjutama,alla,all,,,9473,7941,83.82772089095324
1027,loobuma,,el,,,20838,17465,83.81322583741242
1231,nautima,,part,,,7556,6328,83.7480148226575
21,alahindama,,part,,,899,750,83.42602892102336
2418,õigustama,,part,,,4630,3857,83.30453563714903
1905,taotlema,,part,,,13689,11402,83.29315508802688
370,ilmutama,,part,,,4352,3617,83.11121323529412
1188,mõjutama,,part,,,22526,18678,82.91751753529255
677,kohaldama,,part,,,1240,1027,82.8225806451613
1966,toetuma,,all,,,3899,3229,82.8161066940241
2197,minema,vastu,all,,,593,491,82.79932546374368
2299,kasvama,välja,el,,,2074,1716,82.73866923818709
451,jälestama,,part,,,263,217,82.50950570342205
497,kandma,kaasas,part,,,580,478,82.41379310344827
1013,tegema,liiga,all,,,17,14,82.35294117647058
234,haavama,,part,,,1004,826,82.27091633466136
2470,külvama,üle,kom,,,95,78,82.10526315789474
324,huvitama,,part,,,18577,15236,82.01539538138559
1204,rääkima,mööda,el,,,139,114,82.01438848920863
2248,viitama,,all,,,20065,16441,81.9386992275106
569,kasutama,,part,,,60667,49616,81.78416602106581
1475,pretendeerima,,all,,,1427,1167,81.77995795374913
2255,saama,villand,el,,,173,141,81.5028901734104
