,word,government,verb_word,compound_prt1,compound_prt2,compound_prt3,government_with_case,case,adp,verb,other
0,aasima,keda*,aasima,,,,part,part,,,
1,aasima,kelle kallal,aasima,,,,gen kallal,gen,kallal,,
2,abielluma,kellega,abielluma,,,,kom,kom,,,
3,abikätt ulatama,kellele,ulatama,abikätt,,,all,all,,,
4,abstraheeruma,millest/kellest,abstraheeruma,,,,el,el,,,
5,adresseerima,mida*,adresseerima,,,,part,part,,,
6,adresseerima,kellele,adresseerima,,,,all,all,,,
7,aevastama,mille peale,aevastama,,,,gen peale,gen,peale,,
8,agiteerima,keda*,agiteerima,,,,part,part,,,
9,ahistama,keda*,ahistama,,,,part,part,,,
10,ahvima,keda*,ahvima,,,,part,part,,,
11,aimu saama,millest,saama,aimu,,,el,el,,,
12,aitama,mida teha,aitama,,,,part teha,part,,teha,
13,aitama,millest,aitama,,,,el,el,,,
14,aitama,keda/mida*,aitama,,,,part,part,,,
15,ajama,kuhu,ajama,,,,all,all,,,
16,ajendama,mida tegema,ajendama,,,,part tegema,part,,tegema,
17,ajenduma,millest,,ajenduma,,,el,el,,,
18,ajudele käima,kellele,käima,ajudele,,,all,all,,,
19,akrediteerima,keda/mida,akrediteerima,,,,part,part,,,
20,alahindama,keda/mida*,alahindama,,,,part,part,,,
21,alandama,mida*,alandama,,,,part,part,,,
22,alanduma,kelle ees,alanduma,,,,gen ees,gen,ees,,
23,alanduma,mida tegema,alanduma,,,,part tegema,part,,tegema,
24,algama,millest,algama,,,,el,el,,,
25,algama,millega,algama,,,,kom,kom,,,
26,algust tegema,millega,tegema,algust,,,kom,kom,,,
27,alla hüppama,millest,hüppama,alla,,,el,el,,,
28,alla jääma,kellele/millele,jääma,alla,,,all,all,,,
29,alla kirjutama,millele,kirjutama,alla,,,all,all,,,
30,alla minema,kellel,minema,alla,,,ad,ad,,,
31,alla neelama,mida,neelama,alla,,,part,part,,,
32,alla vaatama,kelle peale,vaatama,alla,,,gen peale,gen,peale,,
33,alla vajutama,mida,vajutama,alla,,,part,part,,,
34,alla vanduma,kellele/millele,vanduma,alla,,,all,all,,,
35,alluma,kellele/millele,alluma,,,,all,all,,,
36,alt,kelle/mille,,alt,,,gen,gen,,,
37,alt lendama,millega,lendama,alt,,,kom,kom,,,
38,alt minema,millega,minema,alt,,,kom,kom,,,
39,alt üles vaatama,kellele,vaatama,alt,üles,,all,all,,,
40,altari ette viima,keda,viima,altari,ette,,part,part,,,
41,alusel,mille,,alusel,,,gen,gen,,,
42,alust panema,millele,panema,alust,,,all,all,,,
43,alustama,millest,alustama,,,,el,el,,,
44,alustama,millega,alustama,,,,kom,kom,,,
45,alustama,mida*,alustama,,,,part,part,,,
46,amelema,kellega,amelema,,,,kom,kom,,,
47,ametlikku käiku andma,millele,andma,ametlikku,käiku,,all,all,,,
48,analüüsima,mida*,analüüsima,,,,part,part,,,
49,andeks andma,kellele,andma,andeks,,,all,all,,,
50,andeks paluma,kellelt / kelle käest,paluma,andeks,,,gen käest,gen,käest,,
51,andeks paluma,kellelt / kelle käest,paluma,andeks,,,abl,abl,,,
52,andestama,kellele,andestama,,,,all,all,,,
53,andma,milleks / mida teha,andma,,,,tr,tr,,,
54,andma,milleks / mida teha,andma,,,,part teha,part,,teha,
55,anduma,kellele,anduma,,,,all,all,,,
56,annekteerima,mida,annekteerima,,,,part,part,,,
57,antitsipeerima,mida,,antitsipeerima,,,part,part,,,
58,apelleerima,mida,apelleerima,,,,part,part,,,
59,apelleerima,millele,apelleerima,,,,all,all,,,
60,arendama,mida*,arendama,,,,part,part,,,
61,armastama,keda/mida*,armastama,,,,part,part,,,
62,armastama,mida teha,armastama,,,,part teha,part,,teha,
63,armu andma,kellele,andma,armu,,,all,all,,,
64,armu heitma,kellele/millele,heitma,armu,,,all,all,,,
65,armuma,kellesse/millesse,armuma,,,,ill,ill,,,
66,arranžeerima,millele,arranžeerima,,,,all,all,,,
67,aru andma,millest / mille kohta,andma,aru,,,gen kohta,gen,kohta,,
68,aru andma,millest / mille kohta,andma,aru,,,el,el,,,
69,aru peast võtma,kellel,võtma,aru,peast,,ad,ad,,,
70,aru pähe panema,kellele,panema,aru,pähe,,all,all,,,
71,aru pärima,kellelt,pärima,aru,,,abl,abl,,,
72,aru saama,kellest/millest,saama,aru,,,el,el,,,
73,arutama,kellega,arutama,,,,kom,kom,,,
74,arutama,mida*,arutama,,,,part,part,,,
75,arutlema,mida*,arutlema,,,,part,part,,,
76,arutlema,mille üle,arutlema,,,,gen üle,gen,üle,,
77,arvama,et,arvama,,,,et,,,,et
78,arvama,kellest/millest,arvama,,,,el,el,,,
79,arveid klaarima,kellega,klaarima,arveid,,,kom,kom,,,
80,arveid õiendama,kellega,õiendama,arveid,,,kom,kom,,,
81,arvestama,millega,arvestama,,,,kom,kom,,,
82,arvestama,mida*,arvestama,,,,part,part,,,
83,arvustama,keda/mida*,arvustama,,,,part,part,,,
84,asendama,millega,asendama,,,,kom,kom,,,
85,asendama,keda/mida*,asendama,,,,part,part,,,
86,asenduma,millega,asenduma,,,,kom,kom,,,
87,aset andma,millele,andma,aset,,,all,all,,,
88,aset täitma,mille/kelle,täitma,aset,,,gen,gen,,,
89,aset võtma,kus,võtma,aset,,,ad,ad,,,
90,asetama,kuhu,asetama,,,,all,all,,,
91,asja tegema,kuhu,tegema,asja,,,all,all,,,
92,assotsieeruma,millega/kellega,assotsieeruma,,,,kom,kom,,,
93,astuma,kuhu,astuma,,,,all,all,,,
94,asuma,kus,asuma,,,,ad,ad,,,
95,asuma,mille juurde / mille kallale,asuma,,,,gen juurde,gen,juurde,,
96,asuma,mida tegema,asuma,,,,part tegema,part,,tegema,
97,asuma,mille juurde / mille kallale,asuma,,,,gen kallale,gen,kallale,,
98,au andma,kellele,andma,au,,,all,all,,,
99,au haavama,kelle,haavama,au,,,gen,gen,,,
100,au tegema,kellele,tegema,au,,,all,all,,,
101,auku ajama,keda,ajama,auku,,,part,part,,,
102,auku kaevama,kellele,kaevama,auku,,,all,all,,,
103,auku pähe rääkima,kellele,rääkima,auku,pähe,,all,all,,,
104,austama,keda/mida*,austama,,,,part,part,,,
105,autasustama,millega,autasustama,,,,kom,kom,,,
106,autoriseerima,mida,autoriseerima,,,,part,part,,,
107,avaldama,mida,avaldama,,,,part,part,,,
108,avalduma,milles,avalduma,,,,in,in,,,
109,baseeruma,kus,baseeruma,,,,ad,ad,,,
110,baseeruma,millele,baseeruma,,,,all,all,,,
111,briifima,millest,briifima,,,,el,el,,,
112,briifima,keda*,briifima,,,,part,part,,,
113,dateerima,mida,dateerima,,,,part,part,,,
114,dateerima,kuhu,dateerima,,,,all,all,,,
115,dateerima,millega,dateerima,,,,kom,kom,,,
116,debateerima,kellega,debateerima,,,,kom,kom,,,
117,debateerima,mille üle,debateerima,,,,gen üle,gen,üle,,
118,debattima,kellega,debattima,,,,kom,kom,,,
119,debattima,mille üle,debattima,,,,gen üle,gen,üle,,
120,deklareerima,et,deklareerima,,,,et,,,,et
121,dekoreerima,millega,dekoreerima,,,,kom,kom,,,
122,demonstreerima,et,demonstreerima,,,,et,,,,et
123,denuntseerima,keda/mida,,denuntseerima,,,part,part,,,
124,diplomeerima,keda,diplomeerima,,,,part,part,,,
125,diskuteerima,mille üle,diskuteerima,,,,gen üle,gen,üle,,
126,dislotseerima,kuhu,dislotseerima,,,,all,all,,,
127,dislotseerima,kus,dislotseerima,,,,ad,ad,,,
128,dislotseeruma,kus,dislotseeruma,,,,ad,ad,,,
129,dislotseeruma,kuhu,dislotseeruma,,,,all,all,,,
130,distantseerima,millest,distantseerima,,,,el,el,,,
131,distantseeruma,millest,distantseeruma,,,,el,el,,,
132,eastama,keda,,eastama,,,part,part,,,
133,ebaõnnestuma,kellel,ebaõnnestuma,,,,ad,ad,,,
134,edasi jõudma,milles,jõudma,edasi,,,in,in,,,
135,edasi kanduma,kellele/millele,kanduma,edasi,,,all,all,,,
136,edasi kanduma,millesse,kanduma,edasi,,,ill,ill,,,
137,edasi kanduma,millest,kanduma,edasi,,,el,el,,,
138,edasi lükkama,mida,lükkama,edasi,,,part,part,,,
139,edasi otsima,keda/mida*,otsima,edasi,,,part,part,,,
140,edendama,mida*,edendama,,,,part,part,,,
141,edestama,keda/mida*,edestama,,,,part,part,,,
142,eeldama,et,eeldama,,,,et,,,,et
143,eeldama,mida*,eeldama,,,,part,part,,,
144,eelistama,keda/mida*,eelistama,,,,part,part,,,
145,eelistama,kellele/millele,eelistama,,,,all,all,,,
146,eelistama,mida teha,eelistama,,,,part teha,part,,teha,
147,eelnema,millele,eelnema,,,,all,all,,,
148,eemaldama,millelt,eemaldama,,,,abl,abl,,,
149,eemale hoidma,kellest/millest,hoidma,eemale,,,el,el,,,
150,eemale jääma,millest,jääma,eemale,,,el,el,,,
151,eemale tõukama,kellest/millest,tõukama,eemale,,,el,el,,,
152,eest leidma,keda/mida,leidma,eest,,,part,part,,,
153,ehitama,millest,ehitama,,,,el,el,,,
154,ehmatama,keda*,ehmatama,,,,part,part,,,
155,ehmuma,millest,ehmuma,,,,el,el,,,
156,ehtima,millega,ehtima,,,,kom,kom,,,
157,ehtima,mida tegema,ehtima,,,,part tegema,part,,tegema,
158,ehtima,kuhu,ehtima,,,,all,all,,,
159,ehtima,milleks,ehtima,,,,tr,tr,,,
160,eirama,keda/mida*,eirama,,,,part,part,,,
161,eitama,mida*,eitama,,,,part,part,,,
162,eksima,millega,eksima,,,,kom,kom,,,
163,eksima,mille vastu,eksima,,,,gen vastu,gen,vastu,,
164,elama,millest,elama,,,,el,el,,,
165,elatuma,millest,elatuma,,,,el,el,,,
166,elu põrguks tegema,kelle,tegema,elu,põrguks,,gen,gen,,,
167,elu sisse puhuma,millele,puhuma,elu,sisse,,all,all,,,
168,elu sisse puhuma,millesse,puhuma,elu,sisse,,ill,ill,,,
169,elu täis ajama,mis,ajama,elu,täis,,nom,nom,,,
170,end kaela riputama,kellele,riputama,end,kaela,,all,all,,,
171,end sisse sööma,kuhu,sööma,end,sisse,,all,all,,,
172,end sisse sööma,kus,sööma,end,sisse,,ad,ad,,,
173,end välja lülitama,millest,lülitama,end,välja,,el,el,,,
174,endale kaela tõmbama,mida,tõmbama,endale,kaela,,part,part,,,
175,endast välja ajama,keda,ajama,endast,välja,,part,part,,,
176,endast välja viima,keda,viima,endast,välja,,part,part,,,
177,enesele kaela tõmbama,mida,tõmbama,enesele,kaela,,part,part,,,
178,ennast kaela riputama,kellele,riputama,ennast,kaela,,all,all,,,
179,ennast sisse sööma,kuhu,sööma,ennast,sisse,,all,all,,,
180,ennast sisse sööma,kus,sööma,ennast,sisse,,ad,ad,,,
181,ennast välja lülitama,millest,lülitama,ennast,välja,,el,el,,,
182,ennetama,mida*,ennetama,,,,part,part,,,
183,ennistama,keda/mida,ennistama,,,,part,part,,,
184,ennistama,kuhu,ennistama,,,,all,all,,,
185,ennustama,mida*,ennustama,,,,part,part,,,
186,eos olema,mis,olema,eos,,,nom,nom,,,
187,epistlit lugema,kellele,lugema,epistlit,,,all,all,,,
188,eraldama,kellest/millest,eraldama,,,,el,el,,,
189,eraldama,keda/mida*,eraldama,,,,part,part,,,
190,eraldama,kellele/millele,eraldama,,,,all,all,,,
191,ergutama,mida*,ergutama,,,,part,part,,,
192,ergutama,mida tegema,ergutama,,,,part tegema,part,,tegema,
193,erinema,mille poolest,erinema,,,,gen poolest,gen,poolest,,
194,erinema,kellest/millest,erinema,,,,el,el,,,
195,eristama,kellest/millest,eristama,,,,el,el,,,
196,eristama,keda/mida,eristama,,,,part,part,,,
197,esile kutsuma,mida,kutsuma,esile,,,part,part,,,
198,esindama,mida*,esindama,,,,part,part,,,
199,esinema,millega,esinema,,,,kom,kom,,,
200,esinema,kelle ees,esinema,,,,gen ees,gen,ees,,
201,esinema,kellena,esinema,,,,es,es,,,
202,esitama,kellele,esitama,,,,all,all,,,
203,esitama,keda*,esitama,,,,part,part,,,
204,esitlema,kellele,esitlema,,,,all,all,,,
205,esitlema,keda*,esitlema,,,,part,part,,,
206,ette hoiatama,keda*,hoiatama,ette,,,part,part,,,
207,ette hoiatama,kelle/mille eest,hoiatama,ette,,,gen eest,gen,eest,,
208,ette jõudma,kellest/millest,jõudma,ette,,,el,el,,,
209,ette kandma,millest,kandma,ette,,,el,el,,,
210,ette kujutama,kuidas,kujutama,ette,,,kuidas,,,,kuidas
211,ette kujutama,et,kujutama,ette,,,et,,,,et
212,ette lugema,kellele,lugema,ette,,,all,all,,,
213,ette luiskama,kellele,luiskama,ette,,,all,all,,,
214,ette nägema,mida,nägema,ette,,,part,part,,,
215,ette pääsema,kellest,pääsema,ette,,,el,el,,,
216,ette teatama,millest,teatama,ette,,,el,el,,,
217,ette teavitama,keda*,teavitama,ette,,,part,part,,,
218,ette teavitama,millest,teavitama,ette,,,el,el,,,
219,ette valmistuma,milleks,valmistuma,ette,,,tr,tr,,,
220,ette viskama,kellele,viskama,ette,,,all,all,,,
221,ette võtma,mida,võtma,ette,,,part,part,,,
222,fakti ette seadma,keda,seadma,fakti,ette,,part,part,,,
223,fikseerima,mida,fikseerima,,,,part,part,,,
224,filmima,keda/mida*,filmima,,,,part,part,,,
225,fokuseerima,millele,fokuseerima,,,,all,all,,,
226,fokusseerima,millele,fokusseerima,,,,all,all,,,
227,fookustama,millele,fookustama,,,,all,all,,,
228,garanteerima,mida,garanteerima,,,,part,part,,,
229,grillima,mida*,grillima,,,,part,part,,,
230,haakuma,millega,haakuma,,,,kom,kom,,,
231,haarduma,millesse,haarduma,,,,ill,ill,,,
232,haarduma,millega,haarduma,,,,kom,kom,,,
233,haavama,keda*,haavama,,,,part,part,,,
234,habemesse kargama,kellele,kargama,habemesse,,,all,all,,,
235,hagema,keda/mida*,hagema,,,,part,part,,,
236,hagu alla andma,millele,andma,hagu,alla,,all,all,,,
237,hagu andma,millele,andma,hagu,,,all,all,,,
238,haiget tegema,kellele/millele,tegema,haiget,,,all,all,,,
239,haiget tegema,millega,tegema,haiget,,,kom,kom,,,
240,haisema,mille järgi,haisema,,,,gen järgi,gen,järgi,,
241,haisema,mille järele,haisema,,,,gen järele,gen,järele,,
242,hakkama,kellel,hakkama,,,,ad,ad,,,
243,hakkama,kellele,hakkama,,,,all,all,,,
244,hakkama,millesse,hakkama,,,,ill,ill,,,
245,hakkama,millal,hakkama,,,,millal,,,,millal
246,hakkama,kelleks,hakkama,,,,tr,tr,,,
247,hakkama,mida tegema,hakkama,,,,part tegema,part,,tegema,
248,hakkama saama,millega,saama,hakkama,,,kom,kom,,,
249,hakkama seadma,mida,seadma,hakkama,,,part,part,,,
250,hakkamist olema,kellel,olema,hakkamist,,,ad,ad,,,
251,halastama,kellele,halastama,,,,all,all,,,
252,halba varju heitma,kellele/millele,heitma,halba,varju,,all,all,,,
253,haletsema,keda*,haletsema,,,,part,part,,,
254,halvas kirjas olema,kus,olema,halvas,kirjas,,ad,ad,,,
255,halvustama,keda/mida*,halvustama,,,,part,part,,,
256,hambaid proovima,kelle/mille kallal,proovima,hambaid,,,gen kallal,gen,kallal,,
257,hambaid teritama,kelle/mille kallal,teritama,hambaid,,,gen kallal,gen,kallal,,
258,hambasse puhuma,kellele,puhuma,hambasse,,,all,all,,,
259,hambus olema,kellel,olema,hambus,,,ad,ad,,,
260,hambusse jääma,kellele,jääma,hambusse,,,all,all,,,
261,hammast ihuma,kelle peale,ihuma,hammast,,,gen peale,gen,peale,,
262,hammast ihuma,millele/kellele,ihuma,hammast,,,all,all,,,
263,hammast proovima,kelle/mille kallal,proovima,hammast,,,gen kallal,gen,kallal,,
264,hammaste vahel olema,kelle,olema,hammaste,vahel,,gen,gen,,,
265,hammustama,keda*,hammustama,,,,part,part,,,
266,hangeldama,millega,hangeldama,,,,kom,kom,,,
267,harjuma,kellega/millega,harjuma,,,,kom,kom,,,
268,harjuma,mida tegema,harjuma,,,,part tegema,part,,tegema,
269,harjutama,mida*,harjutama,,,,part,part,,,
270,harmoneerima,millega,harmoneerima,,,,kom,kom,,,
271,harmoneeruma,millega,harmoneeruma,,,,kom,kom,,,
272,harmoniseeruma,millega,harmoniseeruma,,,,kom,kom,,,
273,harrastama,mida*,harrastama,,,,part,part,,,
274,hauda kaevama,kellele,kaevama,hauda,,,all,all,,,
275,hauda viima,keda,viima,hauda,,,part,part,,,
276,haukuma,kelle peale,haukuma,,,,gen peale,gen,peale,,
277,haukuma,kelle kallal,haukuma,,,,gen kallal,gen,kallal,,
278,hea pilguga vaatama,keda/mida*,vaatama,hea,pilguga,,part,part,,,
279,hea pilguga vaatama,kelle/mille peale,vaatama,hea,pilguga,,gen peale,gen,peale,,
280,hea pilguga vaatama,kellele/millele,vaatama,hea,pilguga,,all,all,,,
281,hea seisma,mille eest,seisma,hea,,,gen eest,gen,eest,,
282,heaks kiitma,mida,kiitma,heaks,,,part,part,,,
283,heal jalal olema,kellega/millega,olema,heal,jalal,,kom,kom,,,
284,heasse kohta saatma,keda,saatma,heasse,kohta,,part,part,,,
285,heitlema,millega,heitlema,,,,kom,kom,,,
286,heitlema,mille pärast,heitlema,,,,gen pärast,gen,pärast,,
287,heitlema,mille eest,heitlema,,,,gen eest,gen,eest,,
288,helistama,kuhu,helistama,,,,all,all,,,
289,higistama,mille kallal,higistama,,,,gen kallal,gen,kallal,,
290,hilinema,kuhu,hilinema,,,,all,all,,,
291,hilinema,mille tõttu,hilinema,,,,gen tõttu,gen,tõttu,,
292,hiljaks jääma,kuhu,jääma,hiljaks,,,all,all,,,
293,himustama,mida*,himustama,,,,part,part,,,
294,hindama,mida*,hindama,,,,part,part,,,
295,hindama,mille järgi,hindama,,,,gen järgi,gen,järgi,,
296,hinge minema,kellele,minema,hinge,,,all,all,,,
297,hinge puistama,kellele,puistama,hinge,,,all,all,,,
298,hinge sisse puhuma,millele,puhuma,hinge,sisse,,all,all,,,
299,hinge täis ajama,kellel,ajama,hinge,täis,,ad,ad,,,
300,hinge täis tegema,kellel,tegema,hinge,täis,,ad,ad,,,
301,hingekella lööma,kellele/millele,lööma,hingekella,,,all,all,,,
302,hirmutama,millega,hirmutama,,,,kom,kom,,,
303,hirmutama,keda*,hirmutama,,,,part,part,,,
304,hoiatama,keda*,hoiatama,,,,part,part,,,
305,hoiatama,kelle/mille eest,hoiatama,,,,gen eest,gen,eest,,
306,hoidma,keda/mida*,hoidma,,,,part,part,,,
307,hoiduma,millest,hoiduma,,,,el,el,,,
308,hoiduma,kuhu,hoiduma,,,,all,all,,,
309,hoiduma,mida tegemast,hoiduma,,,,part tegemast,part,,tegemast,
310,hooldama,keda/mida*,hooldama,,,,part,part,,,
311,hoolima,kellest/millest,hoolima,,,,el,el,,,
312,hoolitsema,et,hoolitsema,,,,et,,,,et
313,hoolitsema,mille eest,hoolitsema,,,,gen eest,gen,eest,,
314,hoolt kandma,mille eest,kandma,hoolt,,,gen eest,gen,eest,,
315,hoolt kandma,et,kandma,hoolt,,,et,,,,et
316,hooplema,millega,hooplema,,,,kom,kom,,,
317,hooplema,kelle ees,hooplema,,,,gen ees,gen,ees,,
318,hoovi tõmbama,keda,tõmbama,hoovi,,,part,part,,,
319,hullutama,keda*,hullutama,,,,part,part,,,
320,hurjutama,keda*,hurjutama,,,,part,part,,,
321,hurmuma,millest,hurmuma,,,,el,el,,,
322,huvi pakkuma,kellele,pakkuma,huvi,,,all,all,,,
323,huvitama,keda*,huvitama,,,,part,part,,,
324,huvitatud olema,kellest/millest,olema,huvitatud,,,el,el,,,
325,huvituma,millest,huvituma,,,,el,el,,,
326,häbenema,mida teha,häbenema,,,,part teha,part,,teha,
327,häbenema,keda/mida*,häbenema,,,,part,part,,,
328,hädaldama,mille pärast,hädaldama,,,,gen pärast,gen,pärast,,
329,hädaldama,mille üle,hädaldama,,,,gen üle,gen,üle,,
330,häirima,keda/mida*,häirima,,,,part,part,,,
331,hämmastuma,mille/kelle üle,hämmastuma,,,,gen üle,gen,üle,,
332,hämmastuma,millest/kellest,hämmastuma,,,,el,el,,,
333,hävima,mille tõttu / mille tagajärjel,hävima,,,,gen tõttu,gen,tõttu,,
334,hävima,milles,hävima,,,,in,in,,,
335,hävima,mille tõttu / mille tagajärjel,hävima,,,,gen tagajärjel,gen,tagajärjel,,
336,hääletama,kelle/mille poolt,hääletama,,,,gen poolt,gen,poolt,,
337,hääletama,kelle/mille vastu,hääletama,,,,gen vastu,gen,vastu,,
338,häält andma,kellele/millele,andma,häält,,,all,all,,,
339,hõivama,millega,hõivama,,,,kom,kom,,,
340,hõlma alla pugema,kellele,pugema,hõlma,alla,,all,all,,,
341,hõlmama,keda/mida,hõlmama,,,,part,part,,,
342,hõõgama,mida*,hõõgama,,,,part,part,,,
343,hööritama,mida*,hööritama,,,,part,part,,,
344,hüppama,millega,hüppama,,,,kom,kom,,,
345,hüvasti jätma,millega,jätma,hüvasti,,,kom,kom,,,
346,hüvitama,mida,hüvitama,,,,part,part,,,
347,hüvitama,millega,hüvitama,,,,kom,kom,,,
348,hüvitama,kellele,hüvitama,,,,all,all,,,
349,hüüdma,kelleks/milleks,hüüdma,,,,tr,tr,,,
350,hüüdma,keda*,hüüdma,,,,part,part,,,
351,identifitseerima,keda,identifitseerima,,,,part,part,,,
352,identifitseerima,kellega,identifitseerima,,,,kom,kom,,,
353,identima,keda,identima,,,,part,part,,,
354,identima,kellega,identima,,,,kom,kom,,,
355,idülleerima,keda/mida,,idülleerima,,,part,part,,,
356,igatsema,mida teha,igatsema,,,,part teha,part,,teha,
357,igatsema,keda/mida*,igatsema,,,,part,part,,,
358,igatsema,kelle/mille järele,igatsema,,,,gen järele,gen,järele,,
359,ihaldama,keda*,ihaldama,,,,part,part,,,
360,ihkama,mida teha,ihkama,,,,part teha,part,,teha,
361,ihkama,mida/keda*,ihkama,,,,part,part,,,
362,iiveldama,kellel,iiveldama,,,,ad,ad,,,
363,ilastama,kellega,ilastama,,,,kom,kom,,,
364,iletama,keda,iletama,,,,part,part,,,
365,ilkuma,kelle/mille üle,ilkuma,,,,gen üle,gen,üle,,
366,ilkuma,kelle/mille kallal,ilkuma,,,,gen kallal,gen,kallal,,
367,ilma jätma,millest,jätma,ilma,,,el,el,,,
368,ilma jääma,kellest/millest,jääma,ilma,,,el,el,,,
369,ilmutama,mida,ilmutama,,,,part,part,,,
370,ilustama,millega,ilustama,,,,kom,kom,,,
371,imestama,mille üle,imestama,,,,gen üle,gen,üle,,
372,imetlema,keda/mida*,imetlema,,,,part,part,,,
373,imiteerima,keda/mida*,imiteerima,,,,part,part,,,
374,immigreeruma,kust,immigreeruma,,,,abl,abl,,,
375,immigreeruma,kuhu,immigreeruma,,,,all,all,,,
376,immutama,millega,immutama,,,,kom,kom,,,
377,imponeerima,millega,imponeerima,,,,kom,kom,,,
378,imponeerima,kellele,imponeerima,,,,all,all,,,
379,indikeerima,mida,indikeerima,,,,part,part,,,
380,inditseerima,mida*,,inditseerima,,,part,part,,,
381,innustama,mida tegema,innustama,,,,part tegema,part,,tegema,
382,innustama,keda*,innustama,,,,part,part,,,
383,innustuma,millest,innustuma,,,,el,el,,,
384,interakteeruma,millega,interakteeruma,,,,kom,kom,,,
385,investeerima,millesse,investeerima,,,,ill,ill,,,
386,ironiseerima,mille üle,ironiseerima,,,,gen üle,gen,üle,,
387,irvitama,kelle/mille üle,irvitama,,,,gen üle,gen,üle,,
388,iseloomustama,keda/mida*,iseloomustama,,,,part,part,,,
389,istuma,kuhu,istuma,,,,all,all,,,
390,istuma,kus,istuma,,,,ad,ad,,,
391,istutama,kuhu,istutama,,,,all,all,,,
392,isutama,mille järele,isutama,,,,gen järele,gen,järele,,
393,isutama,mille järgi,isutama,,,,gen järgi,gen,järgi,,
394,jaatama,mida*,jaatama,,,,part,part,,,
395,jagama,mida*,jagama,,,,part,part,,,
396,jagama,millega,jagama,,,,kom,kom,,,
397,jagama,kellele,jagama,,,,all,all,,,
398,jagama,kelle vahel,jagama,,,,gen vahel,gen,vahel,,
399,jagama,millesse,jagama,,,,ill,ill,,,
400,jagama,milleks,jagama,,,,tr,tr,,,
401,jagu saama,kellest/millest,saama,jagu,,,el,el,,,
402,jagunema,millesse,jagunema,,,,ill,ill,,,
403,jagunema,kelleks/milleks,jagunema,,,,tr,tr,,,
404,jagunema,kelle/mille vahel,jagunema,,,,gen vahel,gen,vahel,,
405,jahmerdama,millega/kellega,jahmerdama,,,,kom,kom,,,
406,jaksama,mida teha,jaksama,,,,part teha,part,,teha,
407,jalga ette panema,kellele,panema,jalga,ette,,all,all,,,
408,jalga taha panema,kellele,panema,jalga,taha,,all,all,,,
409,jalge alla tallama,keda/mida,tallama,jalge,alla,,part,part,,,
410,jalgu alt lööma,kellel/millel,lööma,jalgu,alt,,ad,ad,,,
411,jalule ajama,keda/mida,ajama,jalule,,,part,part,,,
412,jalust niitma,keda,niitma,jalust,,,part,part,,,
413,jalust rabama,millega,rabama,jalust,,,kom,kom,,,
414,jalust rabama,keda,rabama,jalust,,,part,part,,,
415,jalutama,kellega,jalutama,,,,kom,kom,,,
416,jalutama,keda*,jalutama,,,,part,part,,,
417,janunema,mille järele,janunema,,,,gen järele,gen,järele,,
418,janunema,mida*,janunema,,,,part,part,,,
419,jaotama,kelle vahel,jaotama,,,,gen vahel,gen,vahel,,
420,jaotama,millesse,jaotama,,,,ill,ill,,,
421,jaotama,milleks,jaotama,,,,tr,tr,,,
422,johtuma,millest,johtuma,,,,el,el,,,
423,joobuma,millest,joobuma,,,,el,el,,,
424,joonduma,kellega/millega,joonduma,,,,kom,kom,,,
425,joonduma,kelle/mille järgi,joonduma,,,,gen järgi,gen,järgi,,
426,joont alla tõmbama,millele,tõmbama,joont,alla,,all,all,,,
427,joovastuma,millest,joovastuma,,,,el,el,,,
428,joppama,millega,joppama,,,,kom,kom,,,
429,juhatama,mida*,juhatama,,,,part,part,,,
430,juhendama,keda/mida*,juhendama,,,,part,part,,,
431,juhinduma,millest,juhinduma,,,,el,el,,,
432,juhtima,mida*,juhtima,,,,part,part,,,
433,juhtuma,kellega/millega,juhtuma,,,,kom,kom,,,
434,juhtuma,mida tegema,juhtuma,,,,part tegema,part,,tegema,
435,julgema,mida teha,,julgema,,,part teha,part,,teha,
436,julgestama,millega,julgestama,,,,kom,kom,,,
437,julgestama,keda/mida*,julgestama,,,,part,part,,,
438,julgustama,mida tegema,julgustama,,,,part tegema,part,,tegema,
439,julgustama,keda*,julgustama,,,,part,part,,,
440,jumalaga jätma,kellega,jätma,jumalaga,,,kom,kom,,,
441,jumaldama,keda/mida*,jumaldama,,,,part,part,,,
442,jumet olema,millel,olema,jumet,,,ad,ad,,,
443,jutlustama,millest,jutlustama,,,,el,el,,,
444,jutlustama,mida*,jutlustama,,,,part,part,,,
445,juttu tegema,millest,tegema,juttu,,,el,el,,,
446,jutustama,millest,jutustama,,,,el,el,,,
447,jutustama,kellega,jutustama,,,,kom,kom,,,
448,juurdlema,mille üle,juurdlema,,,,gen üle,gen,üle,,
449,juurdlema,mille kallal,juurdlema,,,,gen kallal,gen,kallal,,
450,jälestama,keda/mida*,jälestama,,,,part,part,,,
451,jälgedes käima,kelle,käima,jälgedes,,,gen,gen,,,
452,jälgima,keda/mida*,jälgima,,,,part,part,,,
453,jälile jõudma,kellele/millele,jõudma,jälile,,,all,all,,,
454,jäljendama,keda/mida*,jäljendama,,,,part,part,,,
455,jänni jääma,millega/kellega,jääma,jänni,,,kom,kom,,,
456,jännis olema,millega/kellega,olema,jännis,,,kom,kom,,,
457,järele aitama,keda,aitama,järele,,,part,part,,,
458,järele andma,kellele/millele,andma,järele,,,all,all,,,
459,järele jooksma,kellele/millele,jooksma,järele,,,all,all,,,
460,järele jõudma,kellele/millele,jõudma,järele,,,all,all,,,
