cnt,lemma
19,hokimees
19,filmirežissöör
19,eriarst
19,eradetektiiv
19,emad-isa
19,elektritarbija
19,ekspertgrupp
19,asjaarmastaja
18,õde-vend
18,vägilane
18,vigastatu
18,vastuvõtja
18,tüürimees
18,tüdruksõber
18,teenusepakkuja
18,tark
18,sõjapealik
18,suusahüppaja
18,suhtekorraldaja
18,spiiker
18,sisserändaja
18,seersant
18,seaduserikkuja
18,saks
18,rootslanna
18,romantik
18,remondimees
18,reamees
18,rallisõitja
18,põnn
18,puuk
18,pritsimees
18,pime
18,pension
18,peakokk
18,parun
18,papp
18,pagan
18,nuhk
18,naispoliitik
18,müügijuht
18,mära
18,muinsuskaitsja
18,moelooja
18,mentor
18,mehehakatis
18,mehed-naine
18,medõde
18,mats
18,läbirääkija
18,loovisik
18,leiborist
18,lasteaiakasvataja
18,käendaja
18,kõrvalseisja
18,kuubalane
18,kultuuritöötaja
18,koonderakondlane
18,kongresmen
18,kolumnist
18,koerake
18,koduabiline
18,kodanlane
18,kirjandusteadlane
18,kinnisvaramaakler
18,kasuisa
18,kaksikvend
18,internetikasutaja
18,hai
18,filmilavastaja
18,emane
18,džentelmen
18,diktor
18,bioloog
18,autsaider
18,autoostja
17,ärinaine
17,ärikas
17,võõrustaja
17,võhik
17,viiuldaja
17,vestluskaaslane
17,vastutaja
17,vanapoiss
17,vanamoor
17,valvekoer
17,valgalane
17,tsiklimees
17,tshehh
17,timukas
17,teenuseosutaja
17,tantsutüdruk
17,tall
17,tagamängija
17,sõidukiomanik
17,sunniit
17,salaagent
17,realist
17,rabi
17,pääsuke
17,protesteerija
17,poolvend
17,pojapoeg
17,parteikaaslane
17,parkimiskontrolör
17,parameedik
17,panda
17,palgatööline
17,palgasaaja
17,opositsionäär
17,norralanna
17,neonats
17,nakatunu
17,mutike
17,murdvaras
17,meistrimees
17,mehhaanik
17,maanoor
17,lastekirjanik
17,külarahvas
17,kääbus
17,käija
17,krahv
17,kosmopoliit
17,korvpallimeeskond
17,konsortsium
17,kodutarbija
17,keskkonnainspektor
17,kaasreisija
17,jalgpallimeeskond
17,jaanalind
17,iraanlane
17,initsiaator
17,horvaat
17,hirv
17,hipi
17,hindu
17,fännklubi
17,filminäitleja
17,euroametnik
17,esmakursuslane
17,erametsaomanik
17,ennustaja
17,elumees
17,eluheidik
17,debütant
17,astroloog
17,armastajapaar
17,alžeerlane
17,aineõpetaja
16,ülemjuhataja
16,üksikkandidaat
16,õppealajuhataja
16,õnneotsija
16,õigusrikkuja
16,välistudeng
16,võrdkuju
16,vietnamlane
16,vennapoeg
16,venemaalane
16,vagunisaatja
16,ukrainlanna
16,tola
16,tippmees
16,telereporter
16,teatrimees
16,teadusemees
16,taluperenaine
16,süüdistaja
16,sõjakurjategija
16,suvilaomanik
16,sutenöör
16,spordijuht
16,seeneline
16,räppar
16,rändaja
16,roomaja
16,roolikeeraja
16,riigikaitsekomisjon
16,regioon
16,raudteelane
16,rase
16,rallimees
16,rahvatantsija
16,põngerjas
16,psühhopaat
16,portugallane
16,poptäht
16,poliitikategelane
16,piirivalveametnik
16,pidutseja
16,personalijuht
16,pearaamatupidaja
16,patriarh
16,parteilane
16,parm
16,paremäärmuslane
16,papi
16,papa
16,osatäitja
16,noorsportlane
16,nohik
16,naispatsient
16,matemaatikaõpetaja
16,mamma
16,maaettevõtja
16,lurjus
16,lotomiljonär
16,liberaaldemokraat
16,levitaja
16,lesknaine
16,külavanem
16,käsutäitja
16,krants
16,kolonel
16,kinnistuomanik
16,kantpea
16,kamraad
16,kadunuke
16,kaamel
16,kaak
16,hädavares
16,humanitaar
16,hamster
16,gladiaator
16,fundamentalist
16,erialaspetsialist
16,emand
16,duo
16,asunik
16,ajalooõpetaja
16,aiapidaja
15,õpipoiss
15,värdjas
15,väljaandja
15,võimuesindaja
15,viljandlane
15,varss
15,vandeadvokaat
15,vampiir
15,vaimuinimene
15,vahistatu
15,vahemees
15,vabariik
15,unistus
15,unistaja
15,tippmängija
15,tiitlikaitsja
15,teatritegija
15,teatrijuht
15,tantsutrupp
15,šimpans
15,sõjaväepensionär
15,striptiisitar
15,statist
15,sopran
15,slovakk
15,sisearhitekt
15,sant
15,salakütt
15,riigitöötaja
15,rahvaloendaja
15,raamatukoguhoidja
15,püsielanik
15,populist
15,politseikomissar
15,politseiinspektor
15,pardipoeg
15,palgatöötaja
15,pagar
15,paariline
15,otsija
15,opositsiooniliider
15,omavalitsustegelane
15,näitetrupp
15,noortejõuk
15,noorpoliitik
15,neljajalgne
15,natsionaalbolševik
15,narkokoer
15,naisõpetaja
15,naismängija
15,mõisnik
15,moskvalane
15,militsionäär
